Job_position,Company,Location,Salary,requirements,rating,experience,posting_frequency
Urgent Hiring for Kotlin + Java Developer,Unyscape Infocom Pvt. Ltd,"Noida, Uttar Pradesh","35,000 - 62,000 a month","Have published at least 10 quality Android apps per market standards with good rating score.Strong knowledge of architectural patternsMVP, MVC, MVVM, and Clean…",4.0,Java: 3 years,1.0
Service Now_Application Developer,Fujitsu,"Noida, Uttar Pradesh",na,"Primary Responsibilities: � Support the design, development and configuration of a variety of areas including, but not limited to Service Portal, Incident,…",3.6,na,1.0
Software Engineer,Multirecruit,"Delhi, Delhi","7,00,000 - 9,00,000 a year","Contribute in all stages of development right from system architecture, low-level design, database design to setting up deployment infra & processes.",3.5,na,1.0
Full Stack Developer Intern,SkillTon India,"Hyderabad, Telangana",145 - 350 an hour,C)Sound Knowledge on Back end and front end requirements.A) To understand the requirements and work on home screen changes as and when required.,0.0,na,1.0
Dot Net Developers,Glarus Technology,"Possangipur, Delhi",na,We are seeking experienced dot net developers (FULL STACK) with hands on experience developing web/mobile applications.Experience developing secured Web APIs.,0.0,na,1.0
E-Learning Developer,Creativ Technologies,"Gurgaon, Haryana","3,00,000 - 7,00,000 a year",Update existing content based on required changes/updates and end-user feedback.Carefully review and test new and revised content offerings developed as well…,0.0,Photoshop: Ilustrator: Elucidat: Capitvate:Storyline: 1 year,1.0
Associate Application Developer,SysTools Software Pvt. Ltd.,"Dwarka, Delhi, Delhi","3,50,000 - 5,00,000 a year","Excellent written, verbal and presentation communication skills, with a focus on translating business requirements into technology solutions and vice versa.",0.0,Total work: 3 yearsDeveloper: 2 yearsLanguage: English,1.0
Android Developer,Lal10,"Noida, Uttar Pradesh","7,00,000 - 8,00,000 a year","Strong knowledge of Android UI design principles, patterns, and best practices.Familiarity with RESTful APIs to connect Android applications to back-end…",0.0,Android development: 2 yearsTotal work: 2 yearsBachelor's,1.0
Backend Developer,TagTaste,"Noida, Uttar Pradesh","30,000 - 66,000 a month",Coordinate cross-functionally to ensure the project meets business objectives and compliance standards.With hands-on experience in using AWS technologies like…,0.0,na,1.0
ReactJS Developer,Ksolves India Pvt Ltd,Remote,na,Hands on experience on API integration with front end application.Understand features of the product end-to-end with the available PRDs or Mocks.,3.7,ReactJs: 3 yearsBachelor's,1.0
Noida Report Developer,eMDs,"Gautam Budh Nagar, Uttar Pradesh",na,"This position works directly with Product Analysts, Quality Assurance Analysts, as well as other team members to produce quality reports in a timely manner.",0.0,na,1.0
Dot Net Developer,secugenius,"Noida, Uttar Pradesh","40,000 - 60,000 a month","Exp in .net min 4-5 years.Dot net: 4 years (Preferred).Good exp of SQL server.Immediate joiner , Location-Noida Sec4.Having knowledge of Data table.",0.0,na,1.0
Joomla Developer,WDMtech,"Okhla, Delhi, Delhi","30,000 a month","Need to build websites and mobile applications as per the work allotted to them after training.Good knowledge of Joomla development is a must,.",0.0,Diploma,1.0
Frontend Angular Developer,M SquareMedia,Remote,"50,000 a month",At least 3 years front end development experience.Strong knowledge in object-oriented principles and front-end patterns;Expertise in CSS and HTML;,0.0,na,1.0
Full Stack Developer (Job Code 230),Nimiety Careers,"Bengaluru, Karnataka","4,40,397 - 14,22,968 a year","Foundation, Bootstrap and other CSS frameworks.Salary: ₹440,397.00 - ₹1,422,968.00 per year.Total work: 1 year (Preferred).",0.0,na,1.0
Front End Developer,IndiPlanes,Remote,"5,000 - 10,000 a month","Ensure software meets all requirements of quality, security, scalability etc.Test, maintain and recommend software improvements to ensure strong functionality…",0.0,na,1.0
Mobile Developer,yechte software Development Private Limited,"Gurgaon, Haryana","9,00,000 a year",We are looking for a flutter developer to join our development/design team on an immediate basis.Design and build sophisticated and highly scalable apps using…,0.0,na,1.0
Software Developer,Mavonix Consultancy,"Dombivli, Maharashtra","12,000 - 20,000 a month","Net and SQL Server developer .This is contract job , based on projects as need basis.Should have 1-2 years of experience.Its flexible, work from your place.",0.0,VB.NET: 1 year,1.0
Software Developer,Cargoflash Infotech,"Gurgaon, Haryana",na,"Design, code and test new web software applications.Enhance existing systems by analysing business objectives, preparing an action.Experience: 1 to 3 years.",0.0,na,1.0
CodeIgniter Developer,Webkul Software,"Noida, Uttar Pradesh","3,20,000 a year",They will be responsible for developing several complex business application platforms based on CodeIgniter technology.CTC 3.2 LPA- 12 LPA.,0.0,na,1.0
Software Developer Engineer,FarEye,"Noida, Uttar Pradesh",na,"2 - 4 years of relevant in building large scale applications or products.A “Bring It On” attitude; bias for action; self-driven, end-to-end ownership,…",0.0,na,1.0
Software Developer,CBO Infotech,"Dwarka, Delhi, Delhi",na,"3.Experience in designing Window based application.1.Ability to develop software in VB 6.0 with MS SQL,.net with C#, Crystal Report and other selected…",3.5,na,1.0
Python/Django Developer,Algodom Media LLP,"Noida, Uttar Pradesh",na,Must have experience in designing and developing complex applications using Django Framework.Must have knowledge and atleast a year of experience in Django…,0.0,Work: 1 yearBachelor's,1.0
Web Designer & Developer,Paramount overseas,"Lajpat Nagar, Delhi, Delhi","15,000 - 25,000 a month",Developing skills and expertise in appropriate software/programming languages such as HTML and Javascript.Meeting with clients to discuss requirements and/or…,0.0,Web designing: 1 year,1.0
Full Stack Developer,INDUTECH IT SOLUTIONS PRIVATE LIMITED,"Noida, Uttar Pradesh","30,000 - 60,000 a month",Maintain quality and ensure the responsiveness of applications.We’re looking for an experienced Full Stack Developer to help kick start our new Projects with…,0.0,Javascript: 2 yearsAngular / Node JS: 2 yearsBachelor's,1.0
Senior System Software Engineer,Orange,India,na,"Assists in the training/mentoring of team members, including testers, developers, and business analysts and implements organization-wide quality process…",4.1,na,1.0
Full Stack Developer,Techwero Systems,"Noida, Uttar Pradesh","2,73,252 - 12,42,652 a year","A solid foundation in computer science, with strong competencies in data structures, algorithms, and software design - Able to write clean code that follow…",0.0,na,1.0
Full Stack Developer,Autoflipz,"Gurgaon, Haryana","35,000 - 80,000 a month","Experience Required : 3 to 8 Years.Job Location : Udyog Vihar Phase 3, Gurgaon,.Interested candidate please share their cv or call us .",0.0,na,1.0
Consultant - Mainframe Developer,Genpact,"Noida, Uttar Pradesh",na,"Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin…",3.8,na,1.0
SRE Manager,Maersk,"Bengaluru, Karnataka",na,Partner with Platform and various engineering teams in defining Architecture standards and solution design related discussions around current run and/or…,4.1,na,1.0
Web Developer,Settlers India,"Gurgaon, Haryana",na,Tech / BCA. Good opportunity to learn and design new things.We are looking for web developers.The candidate should be abreast with the latest IT developments…,0.0,na,1.0
Python Developer,Leuwint technologies,"Bengaluru, Karnataka",na,Exposure to automation testing using Python would be preferred.Develop and maintain various software products.2 to 6 yrs of Experience in Python development.,0.0,na,1.0
Senior Software Developer,iCloudEMS,"Pune, Maharashtra","5,00,000 - 8,00,000 a year","Proficient in ajax erp product development, php , mysql , database design, life cycle .Will be responsible for automating system processes and developing…",0.0,na,1.0
Associate Software Engineer - Nodejs,Wise Monk,"Gurgaon, Haryana","7,00,000 a year","Write clean, quality, and testable code primarily using Nodejs.An understanding of how web applications work including security, session management, and best…",0.0,na,1.0
Software Engineer,RANZ VISION PVT LTD,"Delhi, Delhi","4,50,000 - 6,00,000 a year","Develop front-end and back-end components.Good understanding of web server configuration with any of (Apache, Nginx or WSGI).Express js: 2 years (Required).",0.0,AWS: 1 yearNode.js: 2 yearsExpress js: 2 years,1.0
Freelance .netcore Developer,smartData Enterprises (I) Ltd,"Nagpur, Maharashtra","38,086 - 79,104 a month","Agile/ Scrum development on complex applications/ products across distributed teams.Good experience in Entity framework, SQL server (Writing Complex Queries,…",4.0,na,1.0
Software Test Engineer,Mahathi Infotech Pvt Ltd,"Coimbatore, Tamil Nadu","2,50,000 a year","Identify bugs and quality issues in development, service or business processes.Collaborate with other business units to understand how automation can improve…",0.0,na,1.0
Dot Net Developer,Resilience Infotech,"Bengaluru, Karnataka","2,50,000 - 10,50,000 a year","Have experience developing applications in a team environment with other developers, using source control and defect tracking software such as SVN, GIT, TFS,…",0.0,na,1.0
NodeJS React Full Stack Developer (MERN) with KeystyoneJS,CloudActive Labs India Pvt Ltd,Remote,"9,60,000 - 12,00,000 a year","Work on KeystoneJs (node.js, GraphQL, NextJS) based project with lot of Python scripts.Use several e-Commerce api including eBay, Amazon, Shopify and other…",0.0,Node.JS: 2 yearsReact: 1 yearBachelor's,1.0
Front End Developer,Lemon Yellow LLP,"Thane, Maharashtra","20,000 - 35,000 a month","Work with the product and design teams to understand requirements, formulate use cases, and then translate that into an effective technical implementation to…",0.0,Front end development: 1 year,1.0
ReactJS Developer,WeDigTech,"Jaipur, Rajasthan","20,000 - 45,000 a month",Software development: 3 years (Preferred).Overall 3+ years of experience as frontend developer using any modern frameworks.Total work: 3 years (Preferred).,5.0,na,1.0
Software developer,Bizway Solutions Pvt. Ltd,"Mumbai, Maharashtra","15,000 - 20,000 a month","Candidate must have work on any Live Project (Windows Application or Web Application Or MVC).Laxmi Sadan, A 402, Thakur, Thakur Village,.",2.5,na,1.0
Looking For Software Developer,Sapna Manish Sharma (Proprietor Of JBM India),"Jaipur, Rajasthan","2,20,000 - 3,80,000 a year","This is a remote position, and the candidate(s) need to have a personal laptop with good internet connectivity.Industry Type IT-Software, Software Services.",0.0,na,1.0
JAVA Developer - Immediate joining,Tulip,"Gurgaon, Haryana","3,70,775 - 13,98,861 a year",Should Have Experience In MySQL.Tech In Computer Science With Experience Of upto 3 Years.Working Knowledge Of No Sql Databases Like MongoDB Would Be Desirable…,0.0,na,1.0
URGENT HIRING OF WEB DEVELOPER,Mansha Solutions,"Delhi, Delhi","3,60,000 a year","Write well designed, testable, efficient code by using best software development practices.Create website layout/user interface by using standard HTML/CSS…",0.0,Web developer: 3 yearsLaravel: 1 yearBachelor's,1.0
Software Developer - Java,Regnant Technologies,"New Delhi, Delhi",na,"Experience : 3 months to 2 years.We are looking for talented and energetic people, who can work with passion, dedication and integrity.",0.0,na,1.0
HIRING FOR JAVA DEVELOPERS,Mabsquare Software Technologies Pvt Ltd,"Bengaluru, Karnataka","14,000 - 20,000 a month","HI GUYS WE ARE HIRING FOR JAVA DEVELOPERS FOR FRESHERS AND EXPERIENCE CANDIDATES.Job Types: Full-time, Regular / Permanent, Fresher.",0.0,na,1.0
Front End Developer,Speako24,"Greater Noida, Uttar Pradesh","15,000 - 30,000 a month","He should strike a balance between functional and aesthetic design, ensure web design is optimised for smartphones, build reusable code for future and…",0.0,na,1.0
Magento Developer,Neuronimbus Software Services,"Gurgaon, Haryana","6,00,000 - 8,00,000 a year","We run the tight rope of being able to think up ideas for new brand activations, digital marketing and at the same time come in as your mobile and web…",0.0,na,1.0
Associate Software Engineer,OkCredit,"Koramangala, Bengaluru, Karnataka",na,80% of these transactions have been from MSMEs from Tier 3 cities catering to a business value of 14 trillion Rupees.What are we looking for?,0.0,na,1.0
Software Engineering Specialist_UI,amdocs,"Pune, Maharashtra",na,"We are at the heart of the telecommunications industry working with giants such as AT&T, Vodafone, Telstra and Telefonica, helping them create an amazing new…",3.8,na,1.0
Software Engineer,Career Studio,"Bengaluru, Karnataka","10,00,000 - 30,00,000 a year",Development and end-to-end integration of OTT applications.If you really like next-gen technological challenges and care about finding creative and…,0.0,na,1.0
Unity Game Developer,INFOCOM SOFTWARES PVT LTD,"Kochi, Kerala","50,000 a month","Work with other developers to devise customized solutions to difficult problems.Implement systems for the games based on design specifications• Implement,…",0.0,Software development: 1 yearWork: 1 yearTotal work: 1 year,1.0
Software Developer - PHP,Regnant Technologies,"New Delhi, Delhi",na,"Experience : 6 months to 3 years.We are looking for talented and energetic people, who can work with passion, dedication and integrity.",0.0,na,1.0
Unity Game Developer,BINTU AURA PRIVATE LIMITED,"Delhi, Delhi","30,000 a month","Required atleast 2 years experienced inUnity 3D /node.js /android studio.Salary: From ₹30,000.00 per month.All employees required to wear a mask.",0.0,na,1.0
Xamarin Developer,Binary Infotech,"Delhi, Delhi","5,00,000 - 14,00,000 a year","Translate application storyboards and use cases into functional applications.Develop and maintain Xamarin applications that can be put to use for clients,…",4.0,Total: 2 yearsRelevant: 1 year,1.0
Front End Development Internship,Constems-AI Systems Private Limited,"Noida, Uttar Pradesh","15,000 a month",Participate in the deep-net (AI/ML) based product development flow 3.We are an artificial intelligence and immersive solutions company incubated in IIM Lucknow…,0.0,na,1.0
Frontend Developer (HTML) Jobs in Pune,Snaphunt Pte Ltd,"Pune, Maharashtra","7,00,000 a year",Assuring that all user input is validated before submitting to the backend.You have an understanding of templates and have worked with a backend team.,0.0,na,1.0
UI Developer,Willware Technologies,"Bengaluru, Karnataka","3,62,947 - 15,23,244 a year",Continued education and research into UI development trends and current design strategy and technology.Detailed experience with coding and the ability to…,0.0,Front end development: 1 year,1.0
Software Engineer 1,Microsoft,"Noida, Uttar Pradesh",na,"The role involves application of computer science fundamentals, problem solving and growth mindset to design and implement various systems and features for next…",4.2,na,1.0
Software Developers - Java/Angular,Guidehouse,"Thiruvananthapuram, Kerala",na,Knowledge in MongoDB is an added advantage.Experience working in an Agile / Scrum environment.Follow the process and standards defined by the project.,3.4,na,1.0
Junior .Net Developer,Impressico Business Solutions,"Noida, Uttar Pradesh",na,1+ years of experience in IT software development using Microsoft technologies.1+ years of hands-on experience on software development in ASP.,4.9,na,1.0
Senior Software Developer,1ICT INDIA PVT LTD,"Gurgaon, Haryana","12,00,000 - 15,00,000 a year",This Brisbane-based position will allow the successful candidate to gain exposure to new & current technologies.Positive attitude & a team player.,0.0,na,1.0
Angular developer (Front end),Fittment Finder,"Noida, Uttar Pradesh","25,000 - 30,000 a month",Designing and developing user interfaces using AngularJS best practices.Adapting interface for modern internet applications using the latest front-end…,0.0,Css: 2 years,1.0
Full Stack Developer,Delimp Technologies pvt ltd,"Noida, Uttar Pradesh","9,00,000 a year",Software development: 1 year (Preferred).Should have minimum 5 years of experience as full stack developer or Sr. System Engineer.,0.0,na,1.0
Python Developer,mind digital,"New Delhi, Delhi",na,Development includes quickly prototyping new projects or project features or designs; updating and improving existing applications.,0.0,na,1.0
Mathematics content developer,Planet educate,"Mumbai, Maharashtra","15,000 - 25,000 a month",Should be able to learn using software for creating question and solution.People with a very strong Math Proficiency for grades 3 to 10.,0.0,Bachelor's,1.0
.Net Developer - Reporting Tools/Design Patterns,CashXL fintech pvt ltd,"Noida, Uttar Pradesh",na,"Experience with risk, compliance and document control business technology.OO concepts and design patterns.You will lead by example, contributing to a culture…",0.0,DotNet etc: 1 yearModern .net web: ASP.Net: : 1 year,1.0
Looking for Sr Associate Techonology : Front-end UI Develope...,ToshBlocks,"Gurgaon, Haryana",na,Work with other developers to ensure that the website is functional and visually appealing.The UI Developer will work with Back-End Developers and Web…,0.0,na,1.0
Java Developer,WorkStreet,"Delhi, Delhi","24,565 - 50,000 a month","We are Urgently looking for Java Developer with 3-5 years of experience candidate.Java skill set: Java, JSP, Servlets, Struts, Webservices, Spring, Hibernate,…",0.0,na,1.0
Software Developer-PHP,Rightmove Technologies,"Noida, Uttar Pradesh",na,"Experience Required- Total experience - 1+ years.Tech/MCA or Bachelor's Degree in Computer Science, Information Technology, Engineering or a related field.",0.0,na,1.0
Web Designer & Developer,Utkarshini Software,"New Delhi, Delhi","11,937 - 34,863 a month","0-6 month of experience into PHP programming application,Word press and CMS.Should have working knowledge of HTML, CSS, Javascript, PHP.",0.0,na,1.0
Software Developer,Nexvisionix Pvt Ltd,"Bengaluru, Karnataka","80,000 a year",Solid Object Oriented (OO) analysis and system design skills and experience working with design patterns.Experience working with dockerized applications using…,0.0,DevOps experience.: 1 year,1.0
QA Engineer FOR SOFTWARE TESTING/MANUAL TESTING,STT Solution,"Noida, Uttar Pradesh","4,50,000 - 7,60,000 a year",". After learning how the end user will use the appliance with the flow.Good knowledge on Test Case preparation, review & execution, Defects review and…",0.0,na,1.0
Angular Developer,MAG Studios,"East of Kailash, Delhi, Delhi","12,273 - 53,815 a month",This is an excellent opportunity to work on exciting projects for startups and Fortune 500 companies.Software development: 1 year (Required).,0.0,Software development: 1 yearAngular 9 : 1 year,1.0
Software Developer / Sr. Software Developer – Dotnet,QuadLabs,"Gurgaon, Haryana",na,"Expertise in using Web developments tools such as HTML, JavaScript, XML, JQuery and AJAX.Write SQL Queries, Stored Procedures, Triggers and Views using SQL.",0.0,na,1.0
Software Developer Trainee,Agnitio Systems,"Coimbatore, Tamil Nadu","20,000 - 25,000 a month","Candidates should have strong knowledge in C, C++ and oops concept.Freshers 2020 passed out only can be apply for this role.",0.0,na,1.0
Intern_TC_UI_Developer,PwC,"Bengaluru, Karnataka",na,"As an Intern / Trainee, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution.",4.0,na,1.0
Back End Developer,Jogaapp,Remote,"15,000 - 40,000 a month","Skill set: PHP, CodeIgniter, MySQL, HTML, CSS, JavaScript, JQUERY, Node.js (will be a plus point).We are looking for a professional, detail oriented, hard…",0.0,na,1.0
Software Developer - Dotnet,Pattern Web,"Delhi, Delhi","4,00,000 - 7,00,000 a year","Be a key part of the full product development life cycle of software applications.Experience in architecting and implementing highly scalable, high throughput…",0.0,na,1.0
Software Testing Engineer,WAT Consulting Services,"Connaught Place, Delhi, Delhi","2,25,000 - 3,75,000 a year","We have successfully amalgamated technology with the domain expertise to create customer-centric business solutions, which are expected to address key issues of…",4.5,Software testing: 2 yearsBachelor's,1.0
Software Testing Engineer,NuageCX Corporation,"Pune, Maharashtra","8,086 - 10,000 a month",Work with cross-functional teams to ensure quality throughout the software development lifecycle.Execute test cases (manual or automated) and analyze results.,0.0,na,1.0
Backend Software Developer (WFH),SuccessR,"Bengaluru, Karnataka","18,00,000 a year","Lead an engineering solution to a business problem end-to-end, and.As a backend software developer, you will be producing scalable software solutions.",0.0,Total work: 4 yearsBachelor's,1.0
CodeIgniter CI Developer - Urgent Hiring 1-3 years Exp,Webkype Info Services Pvt Ltd,"Noida, Uttar Pradesh","18,000 - 30,000 a month","Experience in developing web applications and APIs (REST, XML, other open sources).Solid exposure to API integrations (SMS API, Firebase, Payment Gateway,…",0.0,na,1.0
Software Developer,TPRI Technologies Pvt Ltd,"Bengaluru, Karnataka",na,O Develop the new version of the Bluetooth tester based on existing API.O Very good written/verbal communication.O Strong problem solving skills.,0.0,Bluetooth : 3 yearsPython: 3 yearsLinux: 3 years,1.0
Associate Software Engineer,Green Apple Solutions,"New Delhi, Delhi","2,40,000 a year","Develop scalable, robust, and simple web-based solutions to solve complex business problems.Passion for improving education through technology.",0.0,na,1.0
Java Developer,Alphaserve Technologies,"Bengaluru, Karnataka","3,94,185 - 15,28,163 a year","The role will work closely with the business, data analysts and IT teams to support on data applications and will ensure optimal data ingestions and report…",3.8,na,1.0
SQL Developer,Mindssoft Technology,"Chennai, Tamil Nadu","2,80,535 - 11,18,970 a year","Design, create, and implement database systems based on the end user's requirements.Maintain and manage all versions of data models for production, testing and…",0.0,Sql development: 2 yearsBachelor's,1.0
QlikView Application Developer,Accenture,"Bengaluru, Karnataka",na,"Project Role Description :Design, build and configure applications to meet business process and application requirements.Work Experience :4-6 years.",4.0,na,1.0
Flutter Developer,Enginyre,"Faridabad, Haryana","15,000 - 35,000 a month",Developing business logic based on application requirements and integrating API based on endpoints provided by the backed development team.,0.0,na,1.0
MSTR Developer,Larsen & Toubro Infotech Limited,India,na,"Exceptional verbal and written communications skills, with an ability to express complex technical concepts in business terms.",3.7,na,1.0
UI Developer,McCoy Mart,"New Delhi, Delhi",na,Assure that all user input is validated before submitting to back-end.Responsibilities includes designing website layout and develop new user-facing features.,0.0,na,1.0
HTML Developer,Eclat Engineering,"Ahmedabad, Gujarat","30,000 - 60,000 a month",Work closely with Front-end developers to assist them in integrating HTML for relevant.Basic knowledge of Angular is an added advantage.,0.0,Total work: 2 yearsHTML: 2 years,1.0
Software Engineer I,Precisely,"Noida, Uttar Pradesh",na,2-3 years of work experience in designing and developing large scale Java based enterprise applications.Excellent knowledge of OOP concepts and design using…,0.0,na,1.0
Associate Software Developer,Eze Software Group,"Nanakramguda, Hyderabad, Telangana",na,"Developing high-quality code on schedule, based on a technical design.Contributing to the development community by researching new technology and development…",3.7,na,1.0
HTML Developer,Codeyiizen,"New Delhi, Delhi",na,"Familiarity with differences in other HTML5 based views, such as ones in email clients.Develop new user-facing features.",0.0,na,1.0
Junior Developer,Perfexion Information Technologies Pvt. Ltd.,"Madhapur, Hyderabad, Telangana",na,"Coordinate with other developers and software professionals.Must develop projects on any one technology like Android, JavaScript (Angular, NodeJS, React), Go.",0.0,na,1.0
Software Testing Engineer,Agami Technologies,"Greater Noida, Uttar Pradesh","10,000 - 13,500 a month",Should be open to work on all the technologies and should be interested in research.Extremely proficient in English with an acumen to learn new things.,3.0,na,1.0
Blockchain Developer,Lapits Technologies Pvt Ltd,"Noida, Uttar Pradesh","2,76,923 - 11,15,111 a year",Research on new ideas to create new possibilities for business.More than 1 year of experience in blockchain technology development.,0.0,Total work: 1 yearBachelor's,1.0
Laravel Developer,eSearch Logix Technologies Pvt. Ltd.,"Noida, Uttar Pradesh","12,273 - 53,815 a month","Work on bug fixing and improving application performance.Help maintain code quality, organization, and optimization.Salary: ₹12,273.00 - ₹53,815.00 per month.",0.0,na,1.0
Application Developer,Dfy Graviti Technologies,"Delhi, Delhi","8,34,048 a year","Tech qualification with 3 to 6 years of confirmed ability.Knowledge on Deep learning, and hands on experience in scikit-learn, pandas and TensorFlow is an…",0.0,Python: 2 yearsBachelor's,1.0
React & Full Stack Developer,Kenbox Technology,"Noida, Uttar Pradesh","2,82,604 - 12,60,270 a year","Experience developing desktop and mobile applications.Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design.",0.0,na,1.0
Software Development Internship,Community Coworks,"Mumbai, Maharashtra","7,500 - 12,000 a month",Assist in R&D for new softwares & applications 3.Assist in developing a mobile application.Community Coworks is most suitable coworking space in Mumbai for…,0.0,na,1.0
Flutter Developer,SoftOneTech Solutions Pvt. Ltd.,"Uttam Nagar, Delhi, Delhi","30,000 a month",Architect and develop an android application with quality code that is easy to test and maintain.You will be responsible for architecting and building these…,0.0,na,1.0
"Software Developer ( Pune + 104549 ) ( Python,Jenkins,Grafan...",amdocs,"Pune, Maharashtra",na,"You will be challenged to design and develop new software applications.We are at the heart of the telecommunications industry working with giants such as AT&T,…",3.8,na,1.0
Software Developer,Speedlabs,"Indore, Madhya Pradesh","20,000 - 25,000 a month","Teevra Edutech is an education company focusing on personal tutorials for classes 3-12, maths and science, and other subjects.Experience- 1 to 3 years.",0.0,HTML: JAVASCRIPT: 1 yearWordpress: 1 yearSoftware developer: 1 year,1.0
Angular Developer,Sarabiz Consulting Pvt. Ltd.,"Mohali, Punjab","10,000 - 20,000 a month",Software development: 1 year (Preferred).Only those candidates can apply who have 70 percentage in all academics.An understanding of Core JavaScript.,0.0,na,1.0
Angular Developer,Arck IT Services Private Limited,"Hyderabad, Telangana","7,00,000 - 13,00,000 a year",At least 3 years of experience with Angular.Working within a team of developers and QA on both individual and group projects.Total Work Experience: 5+ years.,0.0,na,1.0
C#.Net WPF Developer,Logic-fruit Technologies,"Gurgaon, Haryana",na,"Familiar with project management methodology, Agile/Scrum JIRA.Experience in designing product quality GUI.Development of C# and SQL based solutions.",0.0,na,1.0
ReactJS Developer,SMACERA,"Bengaluru, Karnataka","3,23,251 - 14,11,969 a year",Ability to manage change and be open to it good time management and an ability to work under stress.Ability to understand business requirements and translate…,0.0,na,1.0
#NAME?,Softcore Infotech,"New Delhi, Delhi",na,"However, we will let you know if a suitable vacancy may arise.This is to inform you that there are no vacancies available.",0.0,na,1.0
ASP.NET Web Developer,Fine Technologies,"Delhi, Delhi","10,000 a month","#urgent opening for .net developer having knowledge of c#,MS sql server ,java script, css , MVC.Job Types: Full-time, Fresher.Total work: 1 year (Preferred).",0.0,na,1.0
Senior D365 F&O Developer,Zones,"Delhi, Delhi",na,"Collaborate with other software developers, business analysts and software architects to plan, design, develop, test, and maintain web and desktop based…",2.8,na,1.0
Sr. Android Application Developer,Zimozi Solutions Pvt. Ltd.,Remote,"60,000 a month",3 years of software development experience.You will work with our team of talented engineers to design and build the next generation of our mobile applications…,0.0,Android : 3 years,1.0
Software Integration Engineer,Irdeto,"New Delhi, Delhi",na,"Conditional access remains key to what we do; from managing new technology implementations, combating online piracy, offering anti-cheat methods for gaming to…",0.0,na,1.0
Software Developer,Webdirekt India Pvt. Ltd,"Pune, Maharashtra","1,80,000 a year",Our company based in Pune at Viman Nagar Location and involved in the development of customized web applications and portals for our Customers in Europe is…,0.0,na,1.0
Java Developer,Glorious Insight Pvt Ltd,"Noida, Uttar Pradesh","18,000 - 22,000 a month","Skill set: Java, Core Java, HTML, CSS.Excellent Communication Skills; Good Team Player.Compensation: Good hike basing on last drawn CTC.",0.0,Spring: 2 yearsBachelor's,1.0
Senior PHP Developer,Specso.in,"East of Kailash, Delhi, Delhi","11,092 - 42,193 a month",Work Experience: 2-3 yrs.PHP Developer : 3 years (Preferred).Software development: 2 years (Preferred).Please contact me if interested.,0.0,na,1.0
Front End Developer,Muoro,"Gurgaon, Haryana","50,000 - 90,000 a month","Front end development: 4 years (Preferred).Angular5+, Javascript , HTML , CSS , Bootstrap , DS and Algo, Proficient understanding of code versioning tools,…",0.0,na,1.0
Software Test Engineer,BeyondAlphabets,"Noida, Uttar Pradesh",na,"BeyondAlphabets is an IT start-up founded by IT veterans with its business verticals spanning across IT Products,Services and Education.",0.0,na,1.0
Blockchain Developer,Enigma Tech,"Panaji, Goa","2,53,436 - 8,60,438 a year","Should have knowledge specific to smart contract development using Chain Code Lifecycle - Knowledge pertaining to ERC20 Tokens, Bitcoin and RSK based smart…",0.0,Software development: 1 yearWork: 1 yearTotal work: 1 year,39.0
Staff Software Engineer,Indeed,Andhra Pradesh,"41,00,000 - 61,40,000 a year",Has strong architecture and software design skills and is able to build new products from scratch quickly.All qualified applicants will receive consideration…,4.3,na,12.0
ReactJS Developer,Codebucket Solutions Private Limited,"Delhi, Delhi","35,000 a month","\\\* Developing new user-facing features using React.js.Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product is…",0.0,ReactJS: 1 year,22.0
Software Developer,"Datavision Technologies, Inc.",Remote,na,Designs the logic that produces application programs in accordance with a specified business need.If you have a passion for learning and working with new…,0.0,.NET: 7 yearsWork: 7 yearsC#: 7 years,42.0
Software Developer- Medical Billing,Extreme- Agile,Remote,"50,000 - 1,00,000 a month","Design, develop, deploy and maintain php (Laravel Platform) based software for the job.Tools you will be using daily:Languages used on daily basis:",0.0,na,39.0
Full Stack Developer,ESS Analysis,"New Delhi, Delhi","3,00,000 - 10,00,000 a year",Debugging scripts and elements using browser’s developer tools.Applicant should be passionate about creating a fantastic user experience and feel that it is…,0.0,Software development: 2 yearsJavascript: 2 yearsBachelor's,42.0
Software Developer/Programmer,BizAcumen Research Pvt. Ltd.,"Hyderabad, Telangana","30,000 - 1,00,000 a month","Required Technical Skills: Symfony 2.8, 4.x; PHP5/PHP7, Python; MySQL; SPA front-end development (UI MV\* libraries like AngularJS or BackboneJS); HTML5/CSS3;…",0.0,.Net: 1 yearC++: 1 yearTotal work: 1 year,25.0
C# Developer - Windows Applications Development,BRANDYGOLD TECH PRIVATE LIMITED,"Lucknow, Uttar Pradesh","40,000 - 70,000 a month","Strong knowledge and experience in developing Windows-based applications, Windows Services, using Threading, Task, Third Party API, and DLLs.",0.0,.net: 4 yearsTotal work: 4 yearsC#: 4 years,122.0
Android developer,Techeights Solutions Private Limited,"Bengaluru, Karnataka","40,000 a month","2-3 years experience in Android applications development.Build excellent UI using standard components and frameworks, proper elements positioning and screen…",0.0,na,1.0
