Software Test Engineer,"ArksstechNoida, Uttar PradeshRemote","₹10,000 - ₹25,000 a month","ArkssTech is looking for a results-driven software tester to be responsible for designing and running tests on software usability. The software tester will conduct tests, analyze the results, and report observations to the design team. You may also interact with clients in order to understand the requirements of the product.
To be successful as a software tester, you should have a working knowledge of software and test design, the capability to run through tests, and the ability to analyze the results. Ultimately, the software tester should be result-driven, have good communication skills, and up-to-date knowledge of software programming and software test design.
Software Tester Responsibilities: 

Reviewing software requirements and preparing test scenarios.
Executing tests on software usability.
Analyzing test results on database impacts, errors or bugs, and usability.
Preparing reports on all aspects related to the software testing carried out and reporting to the design team.
Interacting with clients to understand product requirements.
Participating in design reviews and providing input on requirements, product design, and potential problems.

Software Tester Requirements: 

A bachelor's degree in computer science or related field.
Up-to-date knowledge of software test design and testing methodologies.
Working knowledge of test techniques and compatibility with various software programs.
Working knowledge of programming.
Excellent communication and critical thinking skills.
Good organizational skills and detail-oriented mindset.

Job Type: Full-time
Salary: ₹10,000.00 - ₹25,000.00 per month
Benefits:

Health insurance
Paid sick time
Work from home

Schedule:

Day shift
Flexible shift
Monday to Friday
",na
Junior Software Engineer,"ZedistancelabKazhakoottam, Thiruvananthapuram, Kerala","₹10,000 - ₹20,000 a month","Looking for candidate who are passionate in programming . Ability to adapt and learn new technologies . Work in a startup culture.
Our Team is known for their high energy, their ability to find creative solutions to everyday problems, and their love for bottomless cups of ginger chai.
We’re looking for like-minded individuals who are self-starters, can think on their feet, are creative, and want to create a huge impact. We promise tons of support and lots of learning.
BTech /BE Computer Science
MCA
MSc Computer Science
2021/22 Passed outs,
Job Type: Full-time
Salary: ₹10,000.00 - ₹20,000.00 per month
Benefits:

Health insurance

Schedule:

Morning shift
",na
Quality Assurance - Delhi NCR,"OnsiteDelhi, Delhi","₹4,00,000 - ₹8,00,000 a year","Job Description
We are looking for a Quality Assurance (QA) engineer to develop and execute exploratory and automated tests to ensure product quality.
The QA role plays an important part in our company’s product development process. Our ideal candidate will be responsible for conducting tests before product launches to ensure software runs smoothly and meets client needs while being cost-effective. If you hold an engineering background and enjoy providing end-to-end solutions to software quality problems, we’d like to meet you.
Ultimately, you should monitor all stages of software development to identify and resolve system malfunctions to meet quality standards.Responsibilities

Review requirements, specifications, and technical design documents to provide timely and meaningful feedback


Create detailed, comprehensive, and well-structured test plans and test cases


Estimate, prioritize, plan and coordinate testing activities


Design, develop and execute automation scripts using open source tools


Identify, record, document thoroughly, and track bugs


Perform thorough regression testing when bugs are resolved


Develop and apply testing processes for new and existing products to meet client needs


Liaise with internal teams (e.g. developers and product managers) to identify system requirements


Monitor debugging process results


Investigate the causes of non-conforming software and train users to implement solutions


Track quality assurance metrics, like defect densities and open defect counts


Stay up-to-date with new testing tools and test strategies

Requirements

Proven work experience in software development


Proven work experience in software quality assurance


Strong knowledge of software QA methodologies, tools, and processes


Experience in writing clear, concise, and comprehensive test plans and test cases


Hands-on experience with both white box and black box testing


Hands-on experience with automated testing tools


Experience with performance and/or security testing is a plus


BS/MS degree in Computer Science, Engineering or a related subject

About Us:
Onsite is a well-funded startup, founded by alumni from IIT and ISB and backed by VC funds and some of the leading Tech Entrepreneurs of India. Onsite aims to transform the construction industry through digitization and has built a Mobile-first Project Expense and Collaboration tool for MSME Contractors. Onsite mobile application is currently in use by 100,000+ Contractors, Project Managers and Supervisors in more than 500 cities of India.
https://onsiteteams.com/
Job Types: Full-time, Regular / Permanent
Salary: ₹400,000.00 - ₹800,000.00 per year
Schedule:

Day shift
",na
Software Developer (PHP),"Weblytic labs Pvt LtdNoida, Uttar Pradesh","₹2,00,000 - ₹8,00,000 a year","Dear all,
Weblytic Labs is hiring. The ideal candidate will be responsible for developing high-quality software's and extensions. They will also be responsible for designing and implementing testable and scalable code.
Responsibilities
· Develop quality software and web applications
· Design highly scalable, testable code
· Discover and fix programming bugs
Qualifications
· Bachelor's degree or equivalent experience in Computer Science or related field
· Development experience with PHP (Freshers can also apply)
Skills:
PHP, MySQL, OOPS, JS, jQuery, HTML and CSS
Immediate Joining
Work from Office
Experience: 0-4 Years
You can also send your resume to hr AT THE RATE weblyticlabs.com
Office location: Noida UP 201309
#hiring #jobs #jobs2022 #job #softwaredevelopment #phpdevelopers #phpdevelopers #phpjobs #recruiting #openings #jobhiring #noidajobs #noidahiring
Job Types: Full-time, Regular / Permanent, Fresher
Salary: ₹200,000.00 - ₹800,000.00 per year
Benefits:

Flexible schedule
Food allowance
Internet reimbursement
Leave encashment
Paid sick time
Paid time off

Schedule:

Day shift
Morning shift

Supplemental Pay:

Overtime pay
Performance bonus
Yearly bonus

Ability to commute/relocate:

Sector 62, Noida - 201309, Uttar Pradesh: Reliably commute or planning to relocate before starting work (Required)

Speak with the employer+91-XXXXXXXXXX",na
software operations engineer - intern,"Mimansa TechnologyNoida, Uttar Pradesh","₹6,000 a month","Responsibilities may be quite diverse of a technical nature.
Job Types: Full-time, Internship, Fresher
Salary: From ₹6,000.00 per month
Benefits:

Commuter assistance
Flexible schedule

Schedule:

Flexible shift

Supplemental Pay:

Overtime pay
Performance bonus
Yearly bonus

Ability to commute/relocate:

Noida, Uttar Pradesh: Reliably commute or planning to relocate before starting work (Required)

Education:

Higher Secondary(12th Pass) (Preferred)

Experience:

total work: 1 year (Preferred)

Speak with the employer+91-XXXXXXXXXXExpected Start Date: 07/07/2022",na
Software Implementation Support,"Pioneer E Solutions3 reviewsDelhi, Delhi","₹9,600 - ₹31,000 a month","We are hiring for one of our reputed client for the project of eHRMS Projec
Profile: Software Implementation/Rollout
Experience: Minimum 1-2 years
Location: Delhi (DMRC IT Park Shastri Park New Delhi)
No. of Positions: 3
Qualification: B.E/B.Tech (CS/IT), MCA, M.Tech/M.SC (IT/CS)
Relevancy: Must have worked on Govt. Projects for Rollout or Software Implementation of any Govt. application.
Salary: Maximum 3.7
Job Type: Full-time
Salary: ₹9,600.00 - ₹31,000.00 per month
Schedule:

Day shift

Ability to commute/relocate:

Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)

Experience:

total work: 1 year (Preferred)

Speak with the employer+91-XXXXXXXXXX",2.7
Software Tester,"ArkssTechNoida, Uttar Pradesh","₹12,000 a month","ArkssTech is looking for a results-driven software tester to be responsible for designing and running tests on software usability. The software tester will conduct tests, analyze the results, and report observations to the design team. You may also interact with clients in order to understand the requirements of the product.
To be successful as a software tester, you should have a working knowledge of software and test design, the capability to run through tests, and the ability to analyze the results. Ultimately, the software tester should be result-driven, have good communication skills, and up-to-date knowledge of software programming and software test design.
Software Tester Responsibilities:
Reviewing software requirements and preparing test scenarios.
Executing tests on software usability.
Analyzing test results on database impacts, errors or bugs, and usability.
Preparing reports on all aspects related to the software testing carried out and reporting to the design team.
Interacting with clients to understand product requirements.
Participating in design reviews and providing input on requirements, product design, and potential problems.
Software Tester Requirements:
A bachelor's degree in computer science or related field.
Up-to-date knowledge of software test design and testing methodologies.
Working knowledge of test techniques and compatibility with various software programs.
Working knowledge of programming.
Excellent communication and critical thinking skills.
Good organizational skills and detail-oriented mindset.
Job Type: Full-time
Salary: From ₹12,000.00 per month
Benefits:

Flexible schedule
Paid sick time
Paid time off
Work from home

Schedule:

Day shift
Flexible shift

Ability to commute/relocate:

Noida, Uttar Pradesh: Reliably commute or planning to relocate before starting work (Preferred)

Education:

Bachelor's (Preferred)

Experience:

Manual testing: 1 year (Required)
total work: 1 year (Required)
",na
Software Engineer,"Wind PioneersBengaluru, Karnataka","₹6,00,000 - ₹9,00,000 a year","Key Responsibility
You will be responsible for supporting our team in all aspects of software development, testing and regular maintenance and upgrading the existing tools.
Description of Role
Our vision as a company is to be world-leading at finding and designing new wind farm sites. We are building a set of tools, approaches and engineering processes that combine to form a capability to undertake the technical management of wind farm development at a significantly improved level of sophistication over existing standard industry approaches.
To achieve its aim, Wind Pioneers is constantly striving to build new tools that are one of its kind and a game changer in the industry. We are looking for an enthusiastic junior software developer to join us and help maintain our tools and make sure they are robust in nature.
Detailed Responsibilities

Assisting with all aspects of software design and coding across various tools and functions.
Writing and maintaining code.
Working on bug fixes.
Troubleshooting software/tool issues.
Preparing manuals and documentation of in-house software.
Working with teammates to develop, test, and maintain business applications.
Monitoring and tracking the technical performance of internal systems.
Responding to development requests from the team.
Researching and understanding new technical developments in the market.

Candidate Requirements

Bachelor's / Master’s degree
1-2yrs work experience


Must have knowledge of basic coding languages including exposure to application development using python and exposure to C++. Knowledge of Microsoft VBA will be a plus.
Knowledge of basic software testing and unit test theory a must.
Knowledge of GIS (basics) would be a plus.
Excellent verbal and written communication skills.
Great deal of attention to detail.
Can-do, flexible and pro-active attitude to work.
Independent worker and natural initiative-taker.
Desire to work in a small, exciting, high-growth, international start-up environment.

Wind Pioneers’ Offering

Be part of a focused team with a clear vision, dedicated to making an outsized impact in the way that wind farm projects are found and evaluated.
Be part of a focused team with a clear vision, dedicated to making an outsized impact in the way that wind farm projects are found and evaluated.
We build people up to be the best in the world.
Have the opportunity to be involved in development of Wind Pioneers’ tools
Enjoy a friendly, relaxed office environment and team culture
Benefit from flexible working conditions
Receive a market-based salary along with the addition of a six-monthly bonus from Wind Pioneers’ revenue share scheme

Job Types: Full-time, Regular / Permanent
Salary: ₹600,000.00 - ₹900,000.00 per year
Benefits:

Flexible schedule
Health insurance
Paid sick time
Paid time off
Provident Fund

Schedule:

Day shift

Supplemental Pay:

Performance bonus
",na
Software Developer Trainee- ReactJS,"Apponward Technologies Pvt. Ltd.Noida, Uttar Pradesh","₹15,000 a month","Basic Requirements: 

B.tech in computer science or equivalent or MCA.
Excellent coding, analytical skills and communication skills.
Good knowledge of oops concept and React Native.
Training or internship in React JS will be added as an advantage.

Roles and Responsibilities: 

Researching, designing, implementing, and managing software programs
Testing and evaluating new programs
Identifying areas for modification in existing programs and subsequently developing these modifications
Writing and implementing efficient code
Determining operational practicality
Developing quality assurance procedures
Deploying software tools, processes, and metrics
Maintaining and upgrading existing system.
Working closely with other developers, UX designers, business and systems analysts

HideHide
Job Type: Full-time
Salary: Up to ₹15,000.00 per month
Schedule:

Day shift

Education:

Bachelor's (Preferred)

Language:

English (Preferred)
",na
Software Developer,"ValueBit IT Services Pvt LtdNoida, Uttar Pradesh","₹50,000 - ₹80,000 a month","Job Description: -
We are looking for a PHP Developer responsible for managing back-end services and the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, definition and maintenance of the central database, and ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application. Therefore, a basic understanding of front-end technologies is necessary as well.
Roles and Responsibilities: -
· MVC compliant Development (CodeIgniter Framework) in PHP framework.
· Able to handle projects and project & task related work independently.
· Hands experience on Rest API Development.
· Integration of user-facing elements developed by front-end developers
· Build efficient, testable, and reusable PHP modules
· Solve complex performance problems and architectural challenges.
· Strong knowledge of the common PHP or web server exploits and their solutions.
· Integration of multiple data sources and databases into one system.
· Familiarity with limitations of PHP as a platform and its workarounds.
· Design, Develop, Implement, Test, Document and Maintain high quality Web Application Software.
· Managing and delivery of projects from conceptualization, visualization to technology mapping and final execution of projects.
· Experience in developing and managing/maintaining websites including mobile friendly and responsive website.
· Good understanding of open source Content Management Systems
· Good Knowledge and relevant work experience in CSS, HTML5, PHP, MySQL, HTML/ XHTML, XML, JavaScript, JQuery and AJAX
· Experience of working on REST, SOAP, OAuth and 3rd party API/ Connectors
· Additional knowledge in Modern web technologies like Node.JS is a plus.
· Perform occasional evaluation of new technologies and methodologies for use within the projects to be developed.
· Strong web application documentation, coding and testing experience.
· Strong debugging experience with code written by other developers.
Requirements: -
· Write clean, well-designed code
· Produce detailed specifications
· Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionality
· Contribute in all phases of the development lifecycle
· Follow industry best practices
· Develop and deploy new features to facilitate related procedures and tools if necessary
Desired Candidate Profile: -
The candidate should be enthusiastic and energetic to learn new things and ace the challenges posed in the job. He should have a good learning curve and must have good comprehension skills. The candidate should be responsible and adaptive.
Job Type: Full-time
Salary: ₹50,000.00 - ₹80,000.00 per month
Schedule:

Day shift

Ability to commute/relocate:

Connaught Place, New Delhi - 110001, Delhi: Reliably commute or planning to relocate before starting work (Preferred)

Education:

Bachelor's (Preferred)

Experience:

.NET: 5 years (Preferred)
total work: 5 years (Preferred)
",na
Software Developer,"MLAI Solution Private LimtedNoida, Uttar Pradesh","₹9,824 - ₹41,547 a month","Experience- 1.0 - 4.0 Year
LAMP Technology, Core PHP, MySQL, JavaScript, Jquery, Ajax, HTML & CSS.
Experience on Framework Like CI, Laravel etc
Experience on Open-sources
Experience on Payment Gateways is plus.
Data base Architecture Designing Experience.
Hands on experience with remote data via XML and JSON.
Third-party libraries, SMS APIs implementation experience.
Database Architecture Design experience is plus.
Ready to take challenges.
Presentation Skills & Good Communication Skills
Job Type: Regular / Permanent
Salary: ₹9,824.00 - ₹41,547.00 per month
Schedule:

Day shift

Ability to commute/relocate:

Noida, Uttar Pradesh: Reliably commute or planning to relocate before starting work (Preferred)

Education:

Bachelor's (Preferred)

Experience:

Core PHP: 1 year (Preferred)
total work: 1 year (Preferred)
Java: 1 year (Preferred)
",na
Software Developer Fresher,"SkillActzThiruvananthapuram, Kerala","₹2,40,000 - ₹8,00,000 a year","
Hiring for Carestack, Suyati, Smart IOPS, PIT Solutions.
Translate application storyboards and use cases into functional applications
Participate in the full life-cycle development process from design, development/code, test, release and maintenance
Work closely with technical leads to deliver the platform as per schedule
Analyse and improve performance, scalability, stability and security of the product
Identify bottlenecks, bugs and devise solutions to problems
Maintain design and code quality
Help customers and work with support team

Job Type: Full-time
Salary: ₹240,000.00 - ₹800,000.00 per year
Schedule:

Morning shift
Rotational shift
",na
"Software Developer (.NET, C#, MS SQL Server )","Sizil Softec Pvt. Ltd.Noida, Uttar Pradesh","₹10,000 - ₹15,000 a month","
Candidate should complete the in the given time period.
Candidate should be hardworking.
Candidate should have a basic knowledge of C# and .NET.
Candidate should also be familiar with MS SQL Server.

Job Type: Full-time
Salary: ₹10,000.00 - ₹15,000.00 per month
Schedule:

Day shift
Monday to Friday

Ability to commute/relocate:

Sector 53, Noida - 201301, Uttar Pradesh: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Preferred)

Experience:

.NET: 1 year (Preferred)
total work: 1 year (Preferred)
",na
Automotive Software Manager,"MarelliGurgaon, HaryanaRemote","₹20,00,000 a year","Domain knowledge- Expertise in Powertrain,ECU,TCU,EMS EV- BSW,VSF,Application software- SW tool chain : Doors,Synergy,MS Project,INCAMDA,Embedded C-Testing : HIL,Unit testing,Integration testing ,Driveability & safety Calibration
Experience 6- 10 yeare
Job Type: Full-time
Salary: Up to ₹2,000,000.00 per year
Benefits:

Cell phone reimbursement
Food allowance
Leave encashment
Life insurance
Provident Fund
Work from home

Schedule:

Day shift
Flexible shift
Monday to Friday

Supplemental Pay:

Performance bonus

Education:

Bachelor's (Preferred)

Experience:

total work: 6 years (Preferred)

Expected Start Date: 01/07/2022",na
Junior JavaScript Developer,"Ficode Software Solutions Private LimitedMohali, PunjabRemote","₹8,000 - ₹12,000 a month","Experience Required:  Fresher to 6 months
Candidate Must be able to Join Immediately or within 1 week

Permanent remote work for those who are not from Punjab

*
Required Skills: 

Knowledge of HTML and CSS.
Basics and logic must be good
Knowledge in JavaScript.
Must able to work with Team.
Able to handle projects on individual basis.
Learning Attitude Must be there.

Perks and Benefits: 

Health Insurance apart from Salary
Guidance from Senior Developers
Increment after 6 months
Permanent remote work for those who are not from Punjab

Job Type: Full-time
Salary: ₹8,000.00 - ₹12,000.00 per month
Benefits:

Health insurance
Paid sick time
Provident Fund
Work from home

Schedule:

Monday to Friday
Morning shift

Supplemental Pay:

Yearly bonus

Ability to commute/relocate:

Mohali, Punjab: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

How soon you can Join ?
Expected Salary/ Stipend?
",na
Software Developer,"modern aestheticsGhaziabad, Uttar Pradesh","₹25,000 - ₹40,000 a month","Skills Required :
Good hands-on experience with design and development of GUI and web based applicationsExperience in the Software Development in various business applications.Understands technical and functional design requirements.Designs code Solution
Min Experience required : 2 years
Dot Net Developer with experience programming in ASP.NET, VB.Net C#,HTMLDHTML, XML, Java Script, AJAX Techniques.Strong hands on MSSQL .Experience in python, R Programming, Cloud Computing, Data Base Sql Server, knowledge JAVA, XML, HTML, JSPKnowledge of web server deployments and configurations
Job Type: Full-time
Salary: ₹25,000.00 - ₹40,000.00 per month
Schedule:

Day shift
Fixed shift

COVID-19 considerations:no
Ability to commute/relocate:

Ghaziabad, Ghaziabad - 201010, Uttar Pradesh: Reliably commute or planning to relocate before starting work (Preferred)

Education:

Bachelor's (Preferred)

Experience:

.NET: 2 years (Preferred)
total work: 2 years (Preferred)
Java: 2 years (Preferred)

Speak with the employer+91-XXXXXXXXXXApplication Deadline: 25/05/2022Expected Start Date: 25/05/2022",na
