Job_position,Company,requirements,rating,experience,avg_yearly_sal,work_category,education_level,job_title,State,Cities
application software developer,secure meter,personal protective equipment provided required sanitising disinfecting cleaning procedure place experience month year,4.0,,324000.0,0,0,0,20,68
data scientist machine learning,ani call india private limited,year strong experience data mining machine learning statistical analysis strong intuition data keen aptitude large scale data,,,1200000.0,0,0,0,26,63
data scientist,larsen toubro infotech limited,conduct research cutting edge technique tool machine learning deep learning artificial intelligence along experience alteryx,3.7,,0.0,0,0,0,37,1222
scientist c,delhi university,please submit cvi bio data email pradhancgmcp gmail com january delhi university recruitment application form released du,4.4,,960000.0,0,0,0,32,1
data scientist,pion global pvt ltd,machine learning data science deep learning workmachine learning data science deep learning year required yr experience,,total work yearsworkmachine learning data science deep learning year,0.0,0,0,0,10,2
software developer etl data streaming,torry harris,etl developer minimum experience year etl data integration data streaming code data pipeline graph develelopment,4.1,,0.0,0,0,0,10,2
junior data scientist,soothsayer analytics,year experience open source machine learning tool built python r execute machine learning research reliability reproducibility,,,0.0,0,0,0,23,4
software developer,bramble group,good understanding software design principle individual fraudulently misrepresenting bramble bxb digital representative scheduled,,,0.0,0,0,0,10,2
c software developer,allied softech pvt ltd,expert developing high quality software able work independently team established leading software product development company,,total work yearsbachelor,420000.0,0,1,0,13,7
junior software engineer,amogha tech,develop quality software web application analyze maintain existing software application tech computer science related field mca,,bachelor,180000.0,0,1,0,22,5
jr data scientist immediate joiner mumbai,yors hr sevises pvt ltd,data scientist year preferred intermediate level knowledge machine learning nlp algorithm use data visualization technique provide insight,,,544842.0,0,0,0,13,0
principal data applied scientist,microsoft,strong knowledge skill machine learning software development architecture machine learning focus deep learning,4.2,,0.0,0,0,0,10,2
python programmer web page developer,intellawaste inc,use proprietary software monitor trash container status handle billing customer interaction pay per hour,,,1736856.0,0,0,0,32,1
ionic spring boot developer,aasaan service solution pvt ltd,software development year preferred good exposure design development hybrid mobile app using ionic framework cordova,,,270000.0,0,0,0,32,1
opening fresher software developer training,r infotech pvt ltd,sanitising disinfecting cleaning procedure place bachelor degree engineering information system computer science related field,,work year,0.0,0,1,0,32,1
data scientist,ageye technologoes,least year experience machine learning data engineering either academic industrial domain position type full time permanent,,year,650000.0,2,0,0,10,2
data scientist wave,mckinsey company,team composed data scientist data engineer work across variety industry function analytics methodology platform e g,4.3,,0.0,0,0,0,7,47
data scientist yr,valiance solution,hand r python application varied machine learning algorithm e drawing actionable recommendation data senior management,,,0.0,0,0,2,26,63
acedimic officer curriculum developer female,global kidz,job description required female candidate academic office monthly curriculum development existing various branch,,,0.0,0,0,0,26,1222
data analyst developer,corceptual system india pvt ltd,working experience data analytical tool data analysis data analytical tool year required looking data analyst skill,,oracle sql year python yearsdata analysis data analytical tool year,900000.0,0,0,0,22,5
data scientist,donaldson,develop transfer data engineering machine learning tool either internal customer external customer come make world difference,,,0.0,0,0,0,7,47
artificial intelligence machine learning,aarika hr professional private limited,must year expert level understanding artificial intelligence technology including knowledge representation reasoning krr,,,0.0,0,0,0,37,1222
software developer trainee fresher,mozilor,work team develop maintain web application wordpress plugins used thousand user across world,,,0.0,0,0,0,11,1222
software engineer machine learning developer,globalfoundries,develop machine learning model business intelligence visualization manufacturing business team m computer science equivalent,3.3,,0.0,0,0,0,10,2
business intelligence developer,mcgraw hill,experience developing delivering successful data warehousing project reporting design develop administer business intelligence data,3.9,,0.0,0,0,0,26,63
software engineer,philip,knowledge software tool like github sonar jenkins etc please submit resume application email reviewed,4.0,,0.0,0,0,0,10,2
intern machine learning deep learning,xsdf,verifying data quality ensuring via data cleaning proficiency deep learning framework tensorflow kera,,,108000.0,0,0,0,22,5
sr professional data scientist analytics,sutherland,excellent knowledge one statistical programming language preferably open source language r python data scientist role get,3.6,,0.0,0,0,0,37,1222
lead data scientist,aleron,year relevant experience analytics machine learning supervise delivery ongoing project build lead team analyst data engineer data,,,0.0,0,0,0,10,2
software engineering intern month,shipsy,bachelor degree computer science equivalent extraordinary software engineering talent experience web application database distributed system,,,0.0,0,1,0,7,47
senior data scientist,samaira hr solution,experience big data analytics advanced machine learning analyze data good expertise data analytics data cleansing data enrichment,,data science yearsbehavioral analytics yearsbig data analytics year,2500000.0,0,0,0,13,15
website developer,kytero immigration pvt ltd,website software application designing building maintaining directing performing website update salary per year,,yearsbachelor,475000.0,0,1,0,32,1
ionic developer,mobiloitte,experience ionic framework good knowledge jquery jquery mobile bootstrap good knowledge cs cs good experience angular,3.4,angular yearsionic yearstotal work year,393888.0,0,0,0,32,1
data scientist,ank aha,ensure data integrity consistency across relevant data system support providing data analytics data technology related project esp,,,0.0,0,0,0,32,1
data scientist da ad,mercedes benz research development india priva,selecting feature building optimizing classifier using machine learning deep learning technique processing cleansing verifying integrity,4.0,,0.0,0,0,0,10,2
python developer,tyutee,forget huge upskilling cost focus learning getting certified zero upfront cost leaving burden getting placed u,,language englishbachelor,720000.0,0,1,0,10,2
data scientist intern,salasar new age technology,work opencv simplecv ilastik hiring intern tremendous desire learn new futuristic technology continuous research experimentation,,,0.0,0,0,0,26,63
development scientist assay development flow cytometry,beckman coulter life science,follows standard practice procedure analyzing situation data answer readily obtained adheres policy procedure,3.7,,0.0,0,0,0,10,2
senior data scientist,morningstar,improve complex data flow data structure db design move next platform experience agile software engineering practice,3.9,,0.0,0,0,0,13,0
python developer,h associate,implement security data protection solution bsc computer science engineering relevant field sanitising disinfecting cleaning procedure,,,240000.0,0,0,0,20,8
data analyst,honeywell,perform data profiling understand data domain validation rule data dependency configure informatica mdm module data cleansing data matching,3.7,,0.0,0,0,0,10,2
machine learning,oaknorth bank,looking passionate machine learning software engineer joining fastest growing profitable fintech bangalore,,,0.0,0,0,0,23,4
mvc developer,agarwal packer mover ltd,software development year preferred exposure query ajax json javascript library jquery node net web api entity framework,3.5,,540000.0,0,0,0,32,1
data scientist ii,ncr,knowledge variety machine learning technique regression clustering decision tree learning artificial neural network,3.6,,0.0,0,0,0,7,47
e learning developer,knotopian,computer science background b sc year pas academic year candidate good english communication skill,,,108000.0,0,0,0,22,5
research data scientist,sequretek pvt ltd,sequretek research lab core research centre sequretek seeking passionate researcher tackle variety problem impact bleeding edge,,bachelor,0.0,0,1,0,13,0
c developer,megna super solution private limited,bachelor degree year related experience training equivalent combination education experience salary per year,,net yearsc year,700000.0,0,1,0,23,4
associate software test engineer,inncrewin technology pvt ltd,excellent programming skill java c e graduate computer science electrical electronics communication job type full time fresher,3.8,bachelor,156000.0,2,1,0,10,2
content developer social science,apc book,arya publication looking content developer develop high quality content social science textbook class,,,0.0,0,0,0,32,1
backend developer,skill lync,collaborate front end developer web designer improve usability fluency understanding specific language java php python,,,325000.0,0,0,0,22,5
data scientist immediate altimetrik,altimetrik india private limited,data scientist whoever perform data trend analysis anomaly detection fit please share resume detail current opportunity,4.0,,1825000.0,0,0,0,22,5
software developer,ydttech digital,trouble integrating multiple data source frontend build ydt tech platform next generation digital service,,,192000.0,0,0,0,23,4
applied scientist machine learning,rd life,strong grasp machine learning data mining data analytics technique experience using perl python similar scripting language data,,,0.0,0,0,0,37,1222
full stack developer intern,summence technology,full stack developer intern could work python javascript technology job type full time fresher salary per month,,,120000.0,2,0,0,32,1
data scientist,aretove,exposure cloud based machine learning platform spark mllib azure ml etc would added advantage send resume career aretove com,,,0.0,0,0,0,13,7
machine learning developer,punchh,solid understanding statistical modeling machine learning data mining gather data transform key data system full time role,,,0.0,2,0,0,20,8
magento developer,ace room,magento developer minimum year experience production web application must good understanding ability develop custom module,,,660000.0,0,0,0,32,1
software developer,k network,knowledge di ioc design pattern web api knowledge rest based api design must sql server know write query stored procedure,3.9,,0.0,0,0,0,26,63
junior software engineer,megna super solution private limited,looking jr software engineer hyderabad year pas salary per month,,,150000.0,0,0,0,23,4
sr data scientist,innefu lab pvt ltd,must able handle deployment complexity like big data management model integration existing environment client india,3.5,,0.0,0,0,0,32,1
ai machine learning expert,f trend,looking candidate developer expert ai machine learning mobile expertise image recognition application fashion industry,,,0.0,0,0,0,32,1
software developer fresher,helm infosystem,looking software developer love challenge technically sanitising disinfecting cleaning procedure place,,,180000.0,0,0,0,19,265
python django developer,bonami software pvt ltd,bonami software offshore software development agency sanitising disinfecting cleaning procedure place experience month,,bachelor,180000.0,0,1,0,32,1
window gui qt qml software developer,enpass,experience software development mobile tablet device enpass technology pvt ltd gurugram seeking experienced window c gui,,,1100000.0,0,0,0,7,47
junior software developer intern,shiash info solution private limited,hiring junior software developer intern role organization good understanding basic programming language motive learn something new,3.7,,60000.0,0,0,1,22,5
data scientist,zestmoney,year business experience including analytics data mining predictive data modelling experience apply advanced statistical data mining technique,,,0.0,0,0,0,10,1222
php software developer,fujiyama power system pvt ltd,year experience php laravel framework http method get post put delete salary per month,,yearsbachelor,600000.0,0,1,0,32,1
training education content developer,eplatform tech,experience developing education course content training material setting exam including mcq quiz evaluating performance knowledge,,,660000.0,0,0,0,7,47
ai ml developer voice recognition,eprosoft india pvt ltd,machine learning year preferred year experience scalable ai artificial intelligence ml machine learning technology,,,1200000.0,0,0,0,0,13
data scientist,innefu lab pvt ltd,selecting feature building optimizing model using machine learning technique experience gpu dsp isp soc architecture system software,3.5,,0.0,0,0,0,32,1
html xhtml xml developer,supercure pvt ltd,highly skilled ui developer highly skilled web design implementation passion building great web based user interface,,bachelor,192000.0,0,1,0,13,0
wordpress developer,fluidlabs,meeting client discus website design function designing building website front end designing managing website back end including,,,240000.0,0,0,0,38,1222
developer machine learning computer vision,drishti tech,design implement machine learning software solution hand experience developing releasing maintaining software application,,,0.0,0,0,0,0,1222
data scientist,maxbyte technology private limited,research scientist engineer part data science artificial intelligence team data scientist working primarily unstructured text data,,data structure algorithm compression technique yearsclassification regression svm tree model evaluation year,0.0,0,0,0,22,37
data scientist advanced analytics,harjai computer private limited,data scientist banking domain data scientist expert analytics skilled tool technology statistical technique find trend,,,0.0,0,0,0,13,0
sr software developer,atlanta system pvt ltd,deploying software tool process metric researching designing implementing managing software program testing evaluating new program,,,35000.0,0,0,0,32,1
angular developer fresher,innovatily,need posse good communication skill strong inclination work data algorithm looking onboard passionate individual,,,500000.0,0,0,0,10,2
customer engineer machine learning google cloud,google,experience building machine learning solution leveraging specific machine learning architecture e g deep learning lstm convolutional network,4.3,,0.0,0,0,0,13,0
software developer fresher,v u service,introducing v u service urgent requirement software developer fresher interested contact u interview detail,,bachelor,300000.0,0,1,0,23,4
manager data scientist,innefu lab pvt ltd,must able handle deployment complexity like big data management model integration existing environment client india,3.5,,0.0,0,0,0,32,1
software developer,diligentstar,intrested working u u go ahead shoot u email info diligentstar com required skill core java advance java java ide,,,0.0,0,0,0,26,63
staff machine learning scientist,compass,looking staff machine learning scientist proven track record solving machine learning problem utilizing strong machine learning,,,0.0,0,0,0,23,4
software developer,korea trade center,equipment software development experienced give treatment experience semicondutor equipment software development year,,,276000.0,0,0,0,37,1222
machine learning internship,codersarts,solving object detection recognition image classification problem using machine learning deep learning algorithm transfer learning method,,,96000.0,0,0,0,7,47
junior analyst bcg omnia,boston consulting group,understanding data cloud technology unit responsibility full life cycle bcg proprietary data software asset initial business,4.2,,0.0,0,0,0,32,1
job role jr data scientist,pumex infotech pvt ltd,combine deep data analytics skill strong business acumen solve business problem understanding preparing analyzing data predict,,year,0.0,0,0,0,11,67
data scientist,xpo logistics,selected candidate posse combination data science skill including data wrangling advanced programming statistical analysis machine,3.2,,0.0,0,0,0,13,0
software developer c asp net mvc,teles communication system india pvt ltd,developer part team responsible product development using c candidate part development team responsible,,,400000.0,0,0,0,10,2
data analyst,polymerupdate,mining data primary secondary source reorganizing said data format easily read either human machine,,,190000.0,0,0,0,13,0
senior java j ee developer spring hibernate,liberin technology,prepare technical design complex technology component well suggest pro con using certain technology stack component design,,,900000.0,0,0,0,32,1
sql developer,amplelogic,good knowledge database like sql server mysql oracle good written oral communication skill excellent analytical organization skill good team,4.5,,137500.0,0,0,0,23,4
data scientist,vistan nextgen pvt ltd,proficiency python basic library machine learning scikit learn panda bachelor degree computer science equivalent work,,,300000.0,0,1,0,23,4
audio data transcription,dattatreya project private limited,understanding client specification noting formatting notation request prior completing transcription total work year preferred,,,138000.0,0,0,0,38,1222
wm software engineer data visualization,jpmorgan chase bank n,understanding software skill business analysis development maintenance software improvement b ba degree equivalent experience,3.9,,0.0,0,0,0,10,2
software developer,iadept marketing,previous exposure vibration route analysis software preferred looking software developer requirement,5.0,,0.0,0,0,0,32,1
data science intern,acrobyte technology,deep understanding predictive modeling machine learning clustering classification technique algorithm expert ml python,,,0.0,0,0,0,38,1222
junior data scientist ta,wsd consultant,ques candidate data science machine learning content development academic delivery experience faculty development program teaching,,,1100000.0,0,0,0,7,47
machine learning lead data scientist,morgan stanley,proficiency machine learning data mining technique feature engineering regression classification clustering dimensionality reduction time series,3.9,,0.0,0,0,0,10,2
machine learning engineer,bloomreach,invent apply machine learning data mining information retrieval algorithm understand identify improve web content discovery,4.1,,0.0,0,0,0,10,2
artificial intelligence developer,integral edit,need artificial intelligence developer work tensorflow cafe image segmentation even fresher intermediate developer apply,,,275000.0,0,0,0,13,0
hybrid mobile developer product based company,shaw academy,andriod io year preferred cross platform mobile app developer developed mobile apps familiarity ionic flutter,3.9,,1500000.0,0,0,0,10,2
java developer spring mvc,f origin future,apply job origintofuture com extensive hand development experience ood oop core j ee java version better required,,,0.0,0,0,0,32,1
nlp data scientist cuddle ai,fractal ai,knowledge open source machine learning library like scikit learn tensorflow nlp tool nltk software programming java python,,,0.0,0,0,0,10,2
data scientist,diverse lynx india,develop custom data model algorithm apply data set ass effectiveness accuracy new data source data gathering technique,4.8,,0.0,0,0,0,7,47
software engineer machine learning,xilinx,working state art machine learning algorithm architecting realization algorithm ai engine core,4.0,,0.0,0,0,0,23,4
software engineer intern,enum infotech llp,graduate computer science information technology prefer remote work work home covid pandemic expected start date,,,120000.0,1,3,0,11,1222
data integration developer,bridgetree,minimum year experience working high volume data base big data immediate opening data integration developer,,,0.0,0,0,0,10,2
python developer,leuwint,develop maintain various software product looking python developer year experience,,,0.0,0,0,0,13,7
data analyst,trane technology,interact data analyst database developer scientist data architect user across organization ensure timely delivery relevant user,,,0.0,0,0,0,10,2
dicom software developer,deloris,maintenance dicom software development dicom viewer project envisioned director needed one could modify ohif viewer suit,,,450000.0,0,0,0,13,0
developer machine learning engineer java python,sap,closely work product management data scientist translate customer request useful product functionality employment type regular full time,4.3,,0.0,2,0,0,10,2
data science engineer nlp,uniqreate inc,strong background learning algorithm multi class classification decision tree support vector machine deep learning,,total work yearsnlp yearsbachelor,721154.0,0,1,0,10,2
machine learning scientist,phenom people,scale machine learning algorithm power platform support growing customer base increasing data volume competitive salary startup,4.7,,0.0,0,0,0,23,4
vb programmer,global business system,developing servicing po point sale retail shop software using vb mdb u retail shop owner need vb programmer new project,,,653400.0,0,0,0,32,1
data scientist,decimal point analytics,min year experience developing artificial intelligence machine learning deep learning solution develop software solution internal client use,4.0,,0.0,0,0,0,13,0
data science machine learning,connect infosoft technology,answer complex business question using appropriate statistical technique available data designing running experiment gather data,,,0.0,0,0,0,7,25
java developer,mityung infotech,build software application follows coding standard build appropriate unit test integration test deployment script,,,800000.0,0,0,0,26,63
sa developer analyst,barclays,provide delivery campaign task schedule honest assessment reasoning delay project sponsor likelihood project request,3.9,,0.0,0,0,0,32,1
c cart developer needed software engineer full stack,saneno ltd,task involves ability analyze interpret complex data good planning organizing prioritizing skill successful management project,,c cart yearsphp yearshtml year,0.0,0,0,0,32,1
data scientist,breathx technology inc canary health technology,project requires motivated data scientist build train python based classification model prototype analyze raw data file establish,,data science year,0.0,0,0,0,10,2
staff software engineer,indeed,year full stack software engineering experience strong architecture software design skill able build new product scratch,4.3,,5120000.0,0,0,0,23,4
software developer,qr solution,well established product company great customer exciting roadmap current opportunity work home opportunity,,,330000.0,0,0,0,22,1222
software manual testing internship,wie software pvt ltd,student fresher apply already graduated currently year study available full time office internship,,,60000.0,2,3,0,26,63
data scientist,mahajan imaging,responsible driving mahajan imaging new focus medical informatics data analytics preferably well aquainted sql based pac hospital,,,0.0,0,0,0,32,1
machine learning platform engineer advisory ai center,deloitte,applying machine learning solve complex problem one case false promise actual potential selection initiation completion,4.0,,0.0,0,0,0,23,4
embedded software programmer,hublit lighting private limited,experience application lifecycle management tool software version control defect tracking ensure software quality keen attention detail,,,900000.0,0,0,0,32,1
oracle pl sql developer,bluscape international,experience data flow diagram data dictionary technique sound experience toad sql developer experience year experience,,,600000.0,0,0,0,13,0
mobile phone technician iphone l level hardware softwar,chipset,specialized iphone samsung phone hardware software repairing need l level mobile phone repair technician repair kind mobile phone,,,390000.0,0,0,0,32,1
data integration developer,crowe,year technology consulting experience client facing related data management data integration etl data warehousing implementation,,,0.0,0,0,0,26,63
software developer,pipecare,bachelor degree computer science related discipline equivalent work experience looking asp essential function job,,,0.0,0,1,0,26,63
opening software testing,tech archie,personal protective equipment provided required sanitising disinfecting cleaning procedure place techarchie like keep everything simple,,higher secondary th pas,270000.0,0,0,0,32,1
data scientist,bdb,experience machine learning algorithm predictive analytics engage data mining algorithm development statistical analysis regression,,,0.0,0,0,0,10,2
software engineer,kronos incorporated,individual disability need additional assistance point application interview process please email kronoscareers kronos com,3.8,,0.0,0,0,0,26,63
data analyst data scientist,shopper stop ltd,assisting team data preparation lead generation identified data issue provided recommendation resolution ensure optimal performance,4.1,,0.0,0,0,0,13,0
machine learning ai online trainer,prognoz,job id ptpl hr year experience machine learning deep learning nlp field must worked minimum ai project must least hour,,,0.0,0,0,0,37,1222
software developer,nest software,b tech computer science bca mca fresher le year experience software developer work senior developer develop,,,0.0,0,0,2,19,1222
full stack developer,zielotech infosolutions india llp,bachelor degree equivalent familiarity project model object oriented software development method tech bca mca bcs equivalent,,bachelor,216000.0,0,1,0,13,7
c developer,abi technology,looking fresher good skill c c c able build application may range desktop application embedded,,,240000.0,0,0,0,10,2
data scientist,ganit,create implement data model handle data extraction preparation transformation location chennai mumbai bengaluru india,,,0.0,0,0,0,13,0
html cs developer,mobine,placing heavy emphasis leaning expertise one tech stack still learning growing following,,,198000.0,0,0,0,38,1222
excel vba developer hourly,aaisland,produce clean interface allow minimal time data entry transparent system permit analysis data entered good coding practice followed,,,356400.0,0,0,0,13,0
data science internship,maxmedia house,already graduated currently year study available full time office online internship relevant skill interest,,,0.0,2,3,0,6,3
software engineer,eshop,job urgent requirement java developer noida location experience required job year salary per year,,,377657.5,0,0,0,26,63
db etl developer sql server ssis tsql,jpmorgan chase bank n,discriminate basis protected attribute including race religion color national origin gender sexual orientation gender identity,3.9,,0.0,0,0,0,23,4
data science internship,quantum,research data wrangling data transformation data analytics machine learning tool required project write automation ml algorithm,3.0,,138000.0,0,0,0,26,63
data scientist iii cdp,inmobi,build unique customer segment combine data strategic data source telco data e commerce insight inmobi network data platform,4.2,,0.0,0,0,0,10,2
database administrator,twenty nine six service private limited,year software industry location gurgaon work home install maintain performance database server,,,500000.0,0,0,0,7,47
data scientist,transorg analytics,must passion data structured unstructured sound experience data mining data analysis would like join u,2.3,,0.0,0,0,0,7,47
software engineer university graduate start,google,contribute wide variety project utilizing natural language processing artificial intelligence data compression machine learning search,4.3,,0.0,0,0,0,10,2
ai engineer,techpanion solution pvt ltd,data science big data year preferred ai general term data science machine learning deep learning one exciting,,software yeartotal work yearsbachelor,750000.0,0,1,0,10,2
reactjs developer,srilekha home pvt ltd,software development year preferred skilled front end developer involved stage interface component design conception,,,796373.0,0,0,0,23,4
software engineer backend,samaira hr solution,designing data structure year required proficiency c concept data structure algorithm looking,,developing backend system end end yearsdesigning data structure yearscs concept data structure algorithm year,3000000.0,0,0,0,32,1
data scientist,xtlytics,creative flair data visualization excellent understanding machine learning technique algorithm k nn naive bayes svm,,,0.0,0,0,0,26,63
software developer,worksbot application,troubleshoot debug upgrade existing software work developer design algorithm flowchart verify deploy program system,,bachelor,210000.0,0,1,0,22,5
