Job_position,Company,requirements,rating,posting_frequency,avg_yearly_sal,work_category,net_experience,education_level,job_title,State,Cities,job_descr_len
seo analyst,royal next international academy pvt ltd,web developer full stack developer social medium marketing executive job type full time walk web developer full stack developer,3.9000000953674316,40,242112.0,2,2.2200000286102295,0,0,22,5,127
software developer yr exp kolkata l salary,angel genie,engagement product management team business user understand requirement deliver solution experience year,3.619999885559082,1383,650000.0,0,3.7799999713897705,0,0,27,6,104
mobile web application developer,smiligence,develop native hybrid application bug fix application following sca timeline salary ctc laks laks knowledge android studio must,3.4700000286102295,358,120000.0,0,1.9700000286102295,0,0,22,41,127
full stack php web developer,numinix web development ltd,related keywords full stack developer java developer software developer python developer software engineer web developer php developer,3.680000066757202,82,831600.0,0,2.450000047683716,0,0,13,0,134
project manager,lunavo lab,lunavo lab u based remote software product experience company headquartered sandiego california created ecosystem talent spread across,4.5,1451,450000.0,1,2.0,0,0,38,1222,134
hiring u recruiter nightshift,iba infotech inc,candidate must good knowledge u tax term like w corp corp basis full time hiring candidate must database,4.210000038146973,19,420000.0,2,2.309999942779541,0,0,26,63,104
mern stack developer year,lunavo lab,experience photoshop sketch plus creating sprite optimizing cutting adjusting image believe making thing possible,4.5,1451,360000.0,0,4.559999942779541,1,0,38,1222,113
quality analyst,visualam digital technology pvt ltd,experience min yr bpo qa calibration qc tool bqm feedback sharing methodology etc total work year preferred,3.75,2,398381.0,0,1.1699999570846558,0,0,10,2,107
react native developer,aagam medium llc,sound understanding computer science fundamental practical industry experience working across stack technology involving modern,3.75,84,398844.0,0,2.259999990463257,0,0,6,9,127
dot net developer,apalya technology pvt ltd,looking dot net developer passion code year experience working dot net technology would like work,3.9,1,180000.0,0,2.5399999618530273,0,0,23,4,97
requirement analyst website project manager,salt web technology pvt ltd,analyst may also consult colleague quality control verify performance communication skill collecting transmitting information,4.019999980926514,20,450000.0,0,1.659999966621399,0,0,13,7,125
front end developer,dot eventures pvt ltd,kgtopg creates perfect platform help everyone connect learning application easy way single sign,3.5999999046325684,1,270000.0,0,2.7100000381469727,0,0,23,4,95
react native developer,ebslon infotech,consumer application application internal use react native app developer ebslon infotech associated,3.4000000953674316,486,390000.0,0,4.21999979019165,0,0,32,1,99
full stack developer,solvencia technology pvt ltd,looking highly skilled computer programmer comfortable front back end programming ensuring responsiveness application,3.7899999618530273,1459,750000.0,0,1.899999976158142,0,0,23,4,117
sr full stack mobile app developer year experience,lunavo lab,experience developing responsive web application sound understanding mvc design pattern excellent knowledge wordpress mysql html modern cs,4.5,1451,780000.0,0,6.0,1,0,38,1222,138
angular developer,manappuram finance limited,skill angular html cs bootstrap javascript web developer cs javascript html full stack developer python php developer front end developer node j,3.7,944,425000.0,0,1.0,0,0,11,1222,144
senior software development engineer,top mnc company,year experience contributing architecture design architecture design pattern reliability scaling new current system,3.369999885559082,533,3500000.0,0,1.0,0,0,23,4,115
html developer,rishiraj medium,job descriptionwe looking html developer dedicated craft writes code proud hit ground running html developer web developer writes beautiful fast html high standard timely scalable way improves code base product meaningful way responsibility write clean well designed code produce detailed specification troubleshoot test maintain core product software database ensure strong optimization functionality contribute phase development lifecycle follow industry best practice develop deploy new feature facilitate related procedure tool necessary job type full time regular permanentsalary per monthschedule morning shiftexperience html developer year preferred work remotely,3.630000114440918,1,210000.0,2,1.0,0,0,32,1222,670
wfh software programmer,ardem data service private limited,software application developer take customer process requirement related data collection data management business process automation create,3.440000057220459,616,375000.0,0,3.0999999046325684,0,0,26,10,139
senior fpga rtl developer,optimized electrotech pvt ltd,would involve understanding application requirement designing hardware requirement schematic level selection part rtl,4.150000095367432,586,1150000.0,0,4.0,0,0,10,2,117
ui ux developer,erisn software solution,combine creativity awareness design element develop technical business requirement always strive deliver intuitive user,3.490000009536743,1093,360000.0,0,3.509999990463257,0,0,10,2,119
full stack developer,aron consulting service,developing new user facing feature using react j therefore commitment collaborative problem solving sophisticated design quality product,3.6700000762939453,64,312774.0,0,1.0,0,0,13,12,136
software developer python yr,angel genie,produce fully functional application apis writing clean code using language research suggest new technology application protocol,3.549999952316284,1383,1550000.0,0,2.4200000762939453,0,0,10,2,128
senior analyst lead finance account,corient business solution pvt ltd,processing sale purchase invoice accrual prepayment etc basic knowledge uk vat paye handle job allocated individually,3.0,51,425000.0,0,3.4700000286102295,0,0,13,0,117
full stack software engineer,ltd,whether using ai identify customer might late booking personalising message extending communication system,3.630000114440918,55,1100000.0,0,3.0,0,0,26,63,106
administrator administrator,praxis leader,providing recommendation come improving organization system configuration installation solution,3.7300000190734863,1,330000.0,0,1.75,0,0,10,2,95
senior accountant,nerfblut screen medical service,hand experience accounting software senior accountant responsible analyzing past transaction present valuable information,3.5999999046325684,17,316386.0,0,1.9700000286102295,0,2,23,4,121
cashier basic tally software knowledge,vinodfaabric wholesale,enter receipt payment contra entry system maintain pettycash tally everyday salary per month,3.0,218,117000.0,0,4.460000038146973,0,0,22,41,92
food technologist r byculla mumbai,bee hive talent,skill required well versed microsoft technical software tool year experience product development r processing food,3.5399999618530273,238,510000.0,0,4.0,2,0,13,0,114
magento developer year,wedowebapps pvt ltd,analyze design code debug test document deploy application participate project deployment planning develop manage magento store,4.059999942779541,193,600000.0,0,1.350000023841858,0,0,6,3,127
graphic designer,lunavo lab,created ecosystem talent spread across geography agile design development process create software delivers value,4.5,1451,258000.0,0,1.0,1,0,38,1222,112
project manager,cogno ai,create communicate project plan meet client objective track assign ownership project level task project management year required,3.490000009536743,1,800000.0,0,2.0,0,0,13,0,128
full stack laravel application developer,gb international travel company,understanding common software design pattern mobile web development responsive web design experience good knowledge html cs bootstrap,4.329999923706055,21,390000.0,0,2.0,0,0,32,1,133
research analyst,btb venture,excellent business comprehensive skill understand industry trait pre sale business development experience good mandatory,3.509999990463257,26,126000.0,0,2.609999895095825,1,0,13,7,120
data engineer,enable data incorporated,java scala software development year required data engineer responsible developing data driven application supporting software project,3.4600000381469727,52,2100000.0,0,5.0,1,0,23,4,134
python developer,scry analytics,develop required back end component api database etc using python experience designing building end end distributed highly available n tier,3.700000047683716,2,1200000.0,0,2.009999990463257,0,0,7,47,139
etl data testing professional,indus o,good understanding data source data lake data warehouse strong knowledge software qa methodology tool process year experience,4.019999980926514,166,1300000.0,0,6.0,0,0,13,0,125
ui user interface designer developer,mafna air technology inc,work back end integrator developer application engineer throughout software development life cycle year year preferred,3.640000104904175,44,180000.0,0,1.7899999618530273,0,0,26,63,118
php developer laravel framework,tefe information technology pvt ltd,competent enough understand client business code accordingly software development year preferred able develop rest api,3.4600000381469727,482,300000.0,0,2.5299999713897705,0,0,7,25,118
php developer,infinite open source solution llp,proficient codegniter laravel understanding experience open source application mediawiki open cart magento drupal etc,3.6700000762939453,93,372000.0,0,2.559999942779541,0,0,11,1222,117
game developer unity,xrdigitech global pvt ltd,unity unity developer company responsible implementing game functionality translating design idea concept,3.859999895095825,1,240000.0,0,2.9200000762939453,0,0,7,47,105
python developer,quasesoft technology,looking experienced python developer join engineering team help u create dynamic software application client role responsible writing testing scalable code developing back end component integrating user facing element collaboration front end developer key responsibility write effective scalable code develop back end component improve responsiveness overall performance integrate user facing element application test debug program improve functionality existing system implement security data protection solution ass prioritize feature request must skill hand experience django flask python framework basic understanding front end technology javascript html cs familiarity object oriented programming excellent interpersonal organizational written communication oral communication listening skill good year experience agithub profile previous work especially inexperienced candidate previous start experience experience part early team keen desire solve problem open learning new thing ability multi task organize prioritize work willing finish work agreed deadline experience machine learning nlp natural language processing preferred good understanding web service like json soap rest xml based web service job type full time regular permanentsalary per monthbenefits flexible scheduleinternet reimbursementschedule flexible shiftmorning shifteducation bachelor preferred experience software development occupation year preferred python year preferred total work year preferred,4.5,1,270000.0,2,1.0,1,0,12,14,1480
php developer,rewa infotech,software development year preferred experience year php mysql laravel javascript jquery html cs job type full time walk,3.940000057220459,113,18500.0,2,2.1500000953674316,0,0,12,14,119
animator,kashish yoga,familiarity range animation software technique education experience proficiency specific animation software platform may,3.890000104904175,14,390000.0,0,2.0,0,0,7,47,120
php developer senior software developer,hire right,urgent requirement php developer senior software developer mysql experience api design oops mvc design pattern htm cs,3.1,1,900000.0,0,2.9700000286102295,0,2,26,63,117
asp net web developer,mazik solution pvt ltd,responsible end end development front end back end experience required year experience working jquery java script html,4.019999980926514,74,366738.0,0,1.5800000429153442,0,0,7,162,118
software engineer yr,great developer info tech pvt ltd,knowledge design pattern big plus knowledge hand experience mobile app development would another plus point net framework,4.260000228881836,1,300000.0,0,2.140000104904175,0,0,26,63,121
asp net developer,upkarak tech solution pvt ltd,good knowledge singe page application server javascript framework good working knowledge bsc ba computer science engineering related,3.380000114440918,87,354000.0,0,1.0,0,0,29,43,132
web development front end react internship,showdown art,create website layout user interface using standard html cs react write well designed testable efficient code using best software development,3.5399999618530273,1,96000.0,0,1.6699999570846558,0,0,26,63,141
sr php developer laravel framework,creative hustler,design improve build stable php application write reusable modular component quick prototyping independent validation testing,3.819999933242798,118,720000.0,0,2.069999933242798,0,0,6,3,125
sr front end developer reactjs bangalore immediate joi,k techno service pvt ltd,solid understanding software development methodology process bonus point experience working node j yr exp react j mandatory,3.2,58,950000.0,0,2.0,0,0,10,2,123
azure cloud data architect,np tech,work closely team inc devops landscape infrastructure business team ensure seamless testing integration deployment,3.5299999713897705,32,1900000.0,0,4.5,0,0,10,2,114
android application developer job surat,unikcodeup infotech,job opening android developer worked outside data source api require sr android developer minimum experience,3.75,94,240000.0,0,1.7300000190734863,1,0,6,9,108
lead senior full stack developer,solvencia technology pvt ltd,full stack developer responsible developing designing front end web architecture ensuring responsiveness application working alongside,3.6600000858306885,1459,1100000.0,0,3.5299999713897705,0,0,23,4,134
business analyst b tech yr,commerceiq,commerceiq well funded series b growth stage start help consumer brand grow business e commerce channel like amazon walmart using,3.9800000190734863,73,1650000.0,0,1.0,1,0,10,2,129
backend developer product based edutech company,shaw academy,strong fundamental computer programming data structure algorithm backend developer hand programming experience node j python golang,3.9,1541,1250000.0,0,1.2999999523162842,0,0,10,2,131
laravel developer year,wedowebapps pvt ltd,creating database schema represent support business process good hand experience mysql document development process architecture,3.6600000858306885,193,480000.0,0,0.8199999928474426,0,0,6,3,128
php developer,g web technology,experience required year year expected start date always looking talented people join team walk day monday friday,5.0,89,347976.0,0,1.0,0,0,29,43,113
zf net developer ex night shift,zone funnel technology,knowledge asp net core mvc c rest api basic knowledge store procedure,3.7799999713897705,29,480000.0,0,2.190000057220459,0,0,22,37,69
azure devops engineer,slk software,demonstrate ability proactively look process improvement opportunity adopt new method best practice net core web api min exp,3.25,281,2100000.0,0,3.0,0,0,10,2,124
full stack developer,cks solution,strong knowledge angular ui design principle pattern best practice experience developing desktop mobile application,3.759999990463257,383,1200000.0,0,4.0,0,0,11,57,115
big data lead developer python,startus insight,profound understanding software development principle regular visit hq vienna company hot spot good written spoken english,3.569999933242798,112,1102427.5,0,3.5799999237060547,1,0,38,1222,122
stock market analyst female,private equity firm,full time job worked office premise month initial training given role one need,3.7799999713897705,68,120000.0,2,2.640000104904175,0,0,22,37,78
wordpress front end developer front end designer,unlimitedwp pvt ltd,psd html conversion using bootstrap cs sas minimum year work experience photoshop html cs sas,4.199999809265137,117,480000.0,0,1.7799999713897705,0,0,6,3,93
domainracer hiring assistant seo analyst,domainracer,proficiency latest seo technique static well dynamic site good knowledge google analytics google adwords,3.5799999237060547,57,120000.0,0,2.319999933242798,1,0,13,7,104
scala spark developer,inforizon corporate service,need hand experience working kafka using java need hand experience loading data hive table using spark scala,3.740000009536743,120,1500000.0,0,3.0899999141693115,0,0,38,1222,108
product manager b tech yr,commerceiq,leading product initiative end end delivering jaw dropping value customer applying advanced analytics data science ai algorithm solve,3.4700000286102295,73,4750000.0,0,8.0,1,0,10,2,133
u bench sale recruiter,hybridclosys software solution pvt ltd,good command verbal written communication skill good relationship management client vendor consultant total work year preferred,3.380000114440918,45,234000.0,0,2.9600000381469727,0,0,23,4,127
power bi lead,infritz system,hiring power bi lead experience year location remoterequired skill mandate experience bi tool system power bi tableau sap must year experience data specific role knowledge microsoft bi stackgrip data analyticsshould posse software development skillsmust experience machine learning airesponsibilities lead analytics etl workstream ensure project initiative deliveredon time ensure full occupancy resource within teampower bi report development building analysis service reporting model developing visual report kpi scorecard dashboard using power bidesktop job type full time regular permanentsalary per yearschedule day shifteducation bachelor preferred,3.9100000858306885,1,1750000.0,2,8.0,1,0,13,7,654
wordpress developer designer,floatingchip internet technology,good understanding front end technology including html cs javascript j query helping formulate effective responsive design turning,3.2799999713897705,114,192000.0,0,2.690000057220459,0,0,27,6,130
accounting sale assistant,ctb food hospitality,knowledge microsoft office software required knowledge quickbooks accounting software handling mail making phone call,3.6500000953674316,28,252000.0,0,3.0,0,0,10,2,117
urgent requirement php wordpress codeigniter developer,code cloud web,experience developing quality application using ajax php mysql candidate developing back end component integrating plugins framework,3.690000057220459,44,270000.0,0,2.740000009536743,0,0,27,1222,132
python kafka developer,startus insight,profound understanding software development principle year work experience big data data engineering dag stateful stream processing data,3.799999952316284,112,1312692.0,0,3.0,1,0,38,1222,136
full stack developer,solvencia technology pvt ltd,full stack developer responsible developing designing front end web architecture ensuring responsiveness application working alongside,3.740000009536743,1459,750000.0,0,1.440000057220459,0,0,23,4,134
php reactjs developer,base brand,experience browser based debugging performance testing software experience user interface design software development year required,4.110000133514404,96,192000.0,0,1.0,0,0,19,265,131
sr front end developer reactjs bangalore immediate joi,k techno service pvt ltd,experience building fast fluid beautiful user experience driving growth consumer website web application yr exp react j mandatory,3.2,58,950000.0,0,2.0,0,0,10,2,129
digital marketing executive minimum year experience fem,team qore management india private limited,manage maintain company owned medium including website mobile apps email crm software digital marketing executive key person,3.4200000762939453,80,150000.0,0,2.190000057220459,0,0,22,212,124
urgent opening php laravel developer,codingclave technology,minimum month professional experience using php html cs ajax develop front back end large scale web application good,3.799999952316284,78,168000.0,0,1.6200000047683716,0,0,26,10,116
system administrator,ecomak system,window server edition administration knowledge cloud server certification aws azure m intune year preferred,3.0399999618530273,1,360000.0,0,1.0,0,0,13,7,107
urgent requirement experienced php developer,primacy infotech pvt ltd,senior developer preferably knowledge ability prepare detailed software design document follow coding,3.5899999141693115,89,282000.0,0,3.0,0,2,27,1222,101
wordpress developer,wp event manager,knowledge agile software development practice must show previous project hack professional software development experience using wordpress,3.509999990463257,357,360000.0,0,3.0,0,0,38,1222,138
service desk helpdesk international support bangalo,outpace consulting service,language proficient english read write speak resolve end user infra issue seek help help desk various medium like call,3.2699999809265137,1,425000.0,0,2.0399999618530273,0,0,10,2,118
java angular spring boot developer,integrated personnel service limited,perform regular internal technical coordination review ensure risk identification support initiation risk mitigation project manager,3.2,1037,897833.5,0,3.4100000858306885,0,0,7,47,132
matlab developer,dlk technology pvt ltd,machine learning year preferred strong programming skill matlab simulink good communication analytical problem solving capability,3.880000114440918,86,210000.0,0,2.299999952316284,0,0,22,5,129
full stack developer,arnowa,role involves engagement business advising complete technical side product conceptualization development testing commissioning,3.25,92,720215.0,0,2.0299999713897705,0,0,32,1,126
io developer,codesoft infotech,identify implement software engineering best practice contribute phase product development design develop test deploy maintain,3.7699999809265137,14,300000.0,0,1.0,0,0,6,9,126
c developer,ira software,responsible developing high performance database driven dynamic application total work year preferred,3.7200000286102295,7,420000.0,0,2.190000057220459,0,0,12,14,101
wordpress back end developer,unlimitedwp pvt ltd,minimum year work experience wordpress back end developer good understanding version control using git knowledge wp rest api wp cli,4.03000020980835,117,510000.0,0,1.7100000381469727,0,0,6,3,131
business analyst,xenonstack,succeed role natural analytical way thinking able explain difficult concept non technical user,3.2899999618530273,30,750000.0,0,2.069999933242798,0,0,19,265,94
software tester,sensussoft software pvt ltd,software tester charge quality assurance stage software development deployment number position currently vacant,3.0899999141693115,145,360000.0,0,3.9600000381469727,0,0,6,9,111
developer,synfinity management consultant private limited,strong technical skill include thorough understanding application design data communication user interface design exposure development,3.6600000858306885,126,952249.5,0,2.700000047683716,0,0,10,2,134
expense analyst,solvefox enabled service,ideal candidate would background accounting account payable comfortable international process excellent oral written,3.7200000286102295,27,240000.0,0,3.0199999809265137,1,0,29,43,116
senior php developer,proarch consulting service,passion best design coding practice desire develop new bold idea develop deploy new feature facilitate related procedure tool,3.7100000381469727,31,480000.0,0,1.0,0,0,19,265,125
embedded software developer,intellisense technology,embedded software year required embedded engineer key skill linux android porting arm cortex nrf esp tft lcd display gsm gprs gps code,4.3,1,330000.0,0,2.0,0,0,19,51,134
associate software test engineer,inncrewin technology pvt ltd,excellent programming skill java c e graduate computer science electrical electronics communication job type full time fresher,3.8,1,156000.0,2,2.259999990463257,1,0,10,2,126
software engineer fresher,roadzen,responsible end end architecture high level design low level design various coming best practice help team achieve technical,3.9800000190734863,2,720000.0,0,1.409999966621399,1,0,32,1,124
senior fpga rtl developer,optimized electrotech pvt ltd,sanitising disinfecting cleaning procedure place candidate would responsible carrying fpga hardware development camera module,4.03000020980835,586,1150000.0,0,4.0,0,0,10,2,125
software developer,appinfini technology private limited,developing new user facing feature using react j therefore commitment collaborative problem solving sophisticated design quality product,3.6600000858306885,1,850000.0,0,1.1100000143051147,0,0,32,1,136
urgent requirement android developer,beetonz infotech,need someone build native application android using java kotlin android studio need create application scratch,3.630000114440918,35,174000.0,0,1.4500000476837158,0,0,6,9,110
software developer,clear nexus inc,hand knowledge system design application development testing operational stability help team deliver high quality product,3.380000114440918,109,704604.0,0,2.109999895095825,0,0,13,0,121
sr full stack mobile app developer year experience,lunavo lab,experience working working technology like react native flutter ionic cordova vue passionate executing product agile,4.5,1451,780000.0,0,6.0,1,0,38,1222,116
blockchain hyperledger developer,avilogic inc,software development year required looking developer good knowledge blockchain hyoerledger devlopment job type part time contract,3.930000066757202,71,360000.0,0,1.0,0,0,32,1,129
senior python php developer,search co,looking self driven senior python php developer architect scalable u based application build scratch deployment,3.630000114440918,82,900000.0,0,1.8600000143051147,0,2,38,1222,111
urgent opening sr dot net developer,cyberindigo net pvt ltd,looking full stack developer expertise net stack angularjs support new existing application development expertise ci cd git,3.7300000190734863,29,40000.0,0,2.940000057220459,0,0,13,0,123
big data lead developer python,startus insight,profound understanding software development principle year work experience big data data engineering dag stateful stream processing data,3.3499999046325684,112,1102427.5,0,4.820000171661377,1,0,38,1222,136
fresher hiring software developer dot net,stt solution,understanding business requirement developing enhancing application using net core developer join development team build web application,3.619999885559082,6,700000.0,0,1.649999976158142,0,0,26,63,136
backend developer php developer,indian hospitality network,preference given candidate experience working web developer product based company knowledge seo asset,4.25,1,300000.0,0,2.2300000190734863,0,0,32,1,101
big data engineer,quantiphi inc,company profilequantiphi award winning applied ai big data software service company driven deep desire solve transformational problem heart business oursignature approach combine groundbreaking machine learning research withdisciplined cloud data engineering practice create breakthrough impact atunprecedented speed company highlight quantiphi seen x growth yoy since inception winner multiple award leading cloud provider like aws gcp market research agency including idc forresterfor detail visit website linkedin pagewe hiring big data engineer location bangalore mumbai wfh till december note hiring delhi ncr candidate delhi candidate please apply skill required python pyspark spark aws glue experience yearsjob type full timepay per yearbenefits health insuranceschedule monday fridaysupplemental pay joining bonusexperience total work year required,3.880000114440918,1,2500000.0,2,1.0,0,0,32,1222,857
web developer experience year,adaired digital medium pvt ltd,responsible developing coding server side logic finalizing back end feature testing web application,3.5399999618530273,88,258000.0,0,1.940000057220459,0,0,19,265,99
software developer,qr solution,well established product company great customer exciting roadmap current opportunity work home opportunity,3.009999990463257,32,330000.0,0,3.130000114440918,0,0,22,1222,106
ai ml data,ani call india private limited,strong data mining data visualization large data set experience using python r sql equivalent language tool,3.2100000381469727,50,1000000.0,0,1.2999999523162842,0,0,26,63,107
senior python developer,job samachar rao hr consultancy,developing end end application latest technology like python django mysql using python library like sympy numpy scipy,3.890000104904175,7,850000.0,0,1.6200000047683716,1,0,6,3,117
ui ux developer,erisn software solution,combine creativity awareness design element develop technical business requirement always strive deliver intuitive user,3.490000009536743,1093,300000.0,0,3.509999990463257,0,0,10,2,119
cloud solution architect,set technology,ability problem see resolution job type full time permanent set technology focused providing managed service,3.859999895095825,41,1200000.0,2,2.4000000953674316,0,0,29,43,108
full stack developer,arnowa,sql database good postgresql sqlite mysql experience requirement may waived demonstration live product relevant startup,3.180000066757202,92,720215.0,0,1.7400000095367432,0,0,32,1,119
software engineer manager,coddict,leading team junior senior software developer using popular data structure design pattern properly working saas based product,3.4600000381469727,109,2640000.0,0,2.6500000953674316,0,2,38,1222,125
fresher software developer,bridgelabs solution llp,opportunity work emerging technology php java fullstack etc qualification btech mca msc c futher passout year,4.260000228881836,1,500000.0,0,2.009999990463257,1,0,38,1222,109
senior u recruiter,techdigital corporation,strong communication skill required perform highest best,2.690000057220459,44,276000.0,0,3.2899999618530273,0,0,22,5,56
sr programmer cum business analyst,symbiosis open education society,net developer cum ba oversee design implementation website program application execute within age year,3.8499999046325684,65,750000.0,0,1.909999966621399,0,0,13,7,102
software developer c net,testamatic system pvt ltd,responsible designing developing application software generate specification design software year experience c,1.7,91,425000.0,0,4.539999961853027,0,0,10,2,110
sr php developer laravel framework,creative hustler,follow standard coding guideline best practice design improve build stable php application write reusable modular component quick,3.7899999618530273,118,720000.0,0,2.0199999809265137,0,0,6,3,129
flutter developer,rajeshwer software solution,software development year preferred job type full time fresher walk,3.2300000190734863,30,150000.0,2,0.9599999785423279,0,0,6,21,67
