Job_position,Company,Location,Salary,requirements
Software Developer,Arcturus Technologies,"Chennai, Tamil Nadu",-999,"Working experience with various database, app servers, web servers etc is required.Looking for java, .net, python, c++ developers with a minimum of 2 years…"
Full Stack Developer,Languify,Remote,"20,000 - 50,000 a month","You will be working on an AI-based edtech solution based out of IIT Bombay.Your responsibility will be to interact with the lead and product manager, ensure…"
Software_Developer C++_.Net_Python_NodeRED,Testamatic Systems Pvt Ltd,"Bengaluru, Karnataka","3,50,000 - 5,00,000 a year","Responsible for designing and developing application software.Generate specifications and design the software.2 -3 years of experience in C,C++, ."
Software Developer (MVC),Blue Aves,"Noida, Uttar Pradesh",-999,Must have the ability to work at the functional level on moderately complex projects and to develop programs based on specific requirements/designs using the…
Software Trainee Engineer - Fresher,HeyoooInc,"Kochi, Kerala","15,000 - 25,000 a month",Positive attitude and ability to workweek within a team environment.Must have a keen understanding of web-based technologies in general.
"Web Application Developer - uCertify, Allahabad and Noida",uCertify,"Noida, Uttar Pradesh","3,08,000 - 4,50,000 a year",As an application developer you will be developing and maintaining the uCertify codebase that makes up the uCertify application & platform.
Requirement for Software developer Maenstack Freshers,Radical Technologies,India,-999,The ability to communicate complex procedures to other colleague.The ability to learn new technologies quickly An analytical mind.Published on: 06/07/2020.
.Net Developer (5+ years of Experience),Nimblestepz Solutions,"Delhi, Delhi","9,60,000 - 10,00,000 a year","Responsible for planning, processing and performing all software development jobs in an efficient manner with no assistance from the supervisor."
Software Developers (.NET )/0-1 yr..,Great Developers Info Tech Pvt Ltd,"Noida, Uttar Pradesh","2,70,000 - 3,00,000 a year",The role would include to develop software product and enhance its features from end to end.Knowledge of design patterns is a big plus.
Software Developer,InterNext,"Tirunelveli, Tamil Nadu","8,000 - 18,000 a month","Proficiency in c#, experience using 4.5+/ core, experience in developing ASP.Understanding of HTML, JS, CSS, Bootsstrap is a must."
Odoo software developer,Charis Software,"A. S. Rao Nagar, Hyderabad, Telangana",-999,We are looking for a skilled Odoo software developer to work alongside our business unit to develop software solutions to solve business problems and create…
Software Test Engineer,Define Labs,"Greater Noida, Uttar Pradesh","5,48,906 - 17,96,089 a year",Work with cross-functional teams to ensure quality throughout the software development lifecycle.Experience in project management and QA methodology.
ASP.NET Developer,Experiom (India) Pvt. Ltd.,"Dwarka, Delhi, Delhi","25,000 - 60,000 a month","Working on client interaction.Experiom (India) Private Limited is an arm of Experiom LLC, Dallas, US.NET based projects for our customer's in the US and APAC."
Android Developer,DeFi Technologies LLC,"Bengaluru, Karnataka","50,000 a month",At least 3 years hands-on and full lifecycle experience in Android Native Application Development.Android development: 3 years (Required).
Software Developer,iSearch Solution,"New Delhi, Delhi",-999,"Responsibilities Working on Ecommerce portals, Payment Gateway Integration(Payu, Paypal, Paytm etc), Writing Stored Procedures & Functions, Consuming and…"
Software Developer,Dadhichi Technologies,"Pune, Maharashtra",-999,"Net, Accounting knowledge will be an added advantage.Eligibility: BE / MCA / MCS with good Programming skills.Experience: 1-2 years of experience in ."
Wordpress Developer,WBN Technology Pvt. Ltd,"Jeewan Park, Delhi","10,000 - 25,000 a month",Designing and managing the website back-end including database and server integration.Designing and building the website front-end.
Full Stack Developer,Kanak Infosystems LLP,"Delhi, Delhi","18,543 - 50,000 a month",Looking for a python full stack developer with pretty good experience in js and web technologies based on python.Atleast 2 years of experience.
C# Developer,IRA Softwares,"Indore, Madhya Pradesh","30,000 - 40,000 a month","He will be responsible for developing high-performance, database-driven dynamic applications.Total work: 3 years (Preferred)."
Website Developer,Kytero Immigration Pvt Ltd,"Pitampura, Delhi","3,50,000 - 6,00,000 a year","Maintaining an understanding of the latest Web applications and programming practices through education, study, and participation in conferences, workshops, and…"
SharePoint Developer,Quess Corp Middle East,"Bengaluru, Karnataka","70,000 - 80,000 a month","SharePoint 2013/2016 application development (c#, javascruot, jquery).Application Deadline: 24/12/2020.Expected Start Date: 24/12/2020."
Web Developer,Paridhiwebtech,"Delhi, Delhi","10,000 - 12,000 a month",Required Web Developer with minimum 1 Year Experience.Skills Required: Expertise in WordPress & PHP Language.Should be well versed with the latest techniques.
Intern - Software Engineering - NLP/AI,Qwerty Thoughts Media Pvt Ltd,"Urban Estate Gurgaon, Haryana","1,000 a month","Apart from building an intuitive UI, an added challenge in this role is to support complex analytical charts, image and video handling on the client-side in an…"
Fresher Developer,Comprinno Technologies,"Bengaluru, Karnataka","15,000 a month","Certifications in AWS, JAVA is an added advantage.Software development: 1 year (Preferred).Quick learner and ability to work independently as well as in a…"
ReactJS Developer,Clavax Technologies Pvt Ltd,"Gurgaon, Haryana","3,00,000 - 5,00,000 a year","You should be up-to-date with new specifications (different stages), and also, using transpilers like Babel to use features from all stages.WFH till Dec 2020."
Software Developer – Python and Java,Inspire Global Solutions,"Bengaluru, Karnataka","20,000 - 30,000 a month",Trainee Software Engineer to work in software application development & designing.Identifying end to end scenarios and code modularity.
Backend Developer,I- Clear Technologies Private Limited,"Delhi, Delhi","20,000 - 25,000 a month","3.Integrating user-facing elements developed by front-end developers with server-.6.Understand project requirements, writing bug-free clean code, and ensure…"
"Blockchain, Hyperledger Developer",Avilogic Inc,"Delhi, Delhi","20,000 - 40,000 a month","Software development: 1 year (Required).Looking for a developer with good knowledge of Blockchain/ Hyoerledger devlopment.Job Types: Part-time, Contract."
Software Developer,Enigma Tech,"Goa, Goa","25,376 a month","Translate requirements into code and ensure product quality.Plus, if a candidate has an understanding of Frontend frameworks like React, Angular or Vue."
Node.js Developer,The Infowarehouse,Remote,"15,000 - 40,000 a month","Integration of user-facing elements developed by front-end developers with server-side logic.Primary focus will be the development of all server-side logic,…"
Sr. Software Developer (Deployment Services),Brinqa,"Bengaluru, Karnataka","5,82,729 - 16,77,867 a year","Design various rules based on data and customer use case, keeping in mind the overall design flow for the specific implementation."
Website Developer,EXALT ITECH SOLUTION,"Badarpur, Delhi","12,000 a month","If you are fresher you can apply as well, but will consider you if you are really good into telephonic interview.We are looking for a Web Developer."
Front End Developer ReactJS,Edupillar,"Delhi, Delhi","15,110 - 22,576 a month",Experience with Redux is an added bonus.Knowledge of git (or similar version control systems) is an added bonus.1+ year experience in React and JavaScript.
Full Stack Developer,Springrole,Remote,"5,00,000 - 15,00,000 a year",Build the front-end of applications through appealing visual design.Build features and applications with a mobile responsive design.
Software Engineer,Capgemini,"Bengaluru, Karnataka",-999,"Developing new user-facing features using React.jswith redux, Javascript HTML CSS.Primary focus will be on developing user interface components and…"
"Software Engineer - Python, Scripting, SQL, SmartOps",amdocs,"Pune, Maharashtra",-999,"You will be challenged to design and develop new software applications.We are at the heart of the telecommunications industry working with giants such as AT&T,…"
HTML Developer,Codeyiizen,"New Delhi, Delhi",-999,"Familiarity with differences in other HTML5 based views, such as ones in email clients.Develop new user-facing features."
Junior Software Developer intern,Shiash Info Solutions Private Limited,"Chennai, Tamil Nadu","5,000 a month",Motive to learn something new.We are Hiring for Junior Software Developer Intern Role in our Organization.Good understanding of basic programming language.
Software Developer,Helloverify,"Noida, Uttar Pradesh",-999,We are looking for Senior Software Developers to build and implement functional programs based on latest Microsoft technologies with minimum 3 years of…
"C#, C++, .Net Developer (1-5years)",Dassault Systèmes,"Pune, Maharashtra",-999,"As part of this team you will be responsible for Managing the Nightly and Rolling Build processes, Managing the Source code management tools such as TFS and GIT…"
PHP Web Developer,Consult 2 Architect,"Dwarka, Delhi, Delhi","5,000 - 10,000 a month","Total work: 4 years (Required).Preference to Near about Dwarka, New Delhi-110075.Designation: IT Professional ""PHP Software Developer (Laravel)"" Part time…"
WinCC OA Developer,Siemens Limited,"Thane, Maharashtra",-999,"Data bases, MES systems, 3rd party applications, Scripting with C++/ C#/Python/Java/AngularJS etc, experience on IOT protocols viz MQTT, Mosquitto, CoAP etc."
Full Stack Developer,Add Innovations Private Limited,"Greater Noida, Uttar Pradesh","3,20,124 - 4,21,030 a year",A full stack developer is required with following skillset:Windows Forms and application development.Knowledge and Application of APIs and SDKs.
Web Developer,Inspirox Digital,"Delhi, Delhi","15,000 - 30,000 a month","We are looking for a Laravel framework website developer with experience of developing high performance ecommerce websites.Job Types: Full-time, Contract."
Web Designer & Developer,Dexter Media,"Noida, Uttar Pradesh","15,000 - 25,000 a month","Modifying plugins, changing themes, copying other popular websites, and converting them into WordPress back-end.Total work: 3 years (Required)."
Full Stack Software Developer (Data Science),EcoMetric,"Pune, Maharashtra",-999,"Five or more years’ work experience with cloud-based software development and data analytics applications.EcoMetric has setup an offshore office in Pune, India…"
System Software Engineer,Orange,India,-999,"Passionate about new technology, willing to put his creativity at the service of the improvement of the operational efficiency and the improvement of the user…"
Software Developer - intern | Thane,Applied Cloud Computing,"Thane, Maharashtra",-999,"ACC has the deep expertise to drive cloud adoption for Financial Services organizations, including the largest Indian banks, Insurance firms, investment…"
Node JS Developer ;,Zerone Microsystems,"Gurgaon, Haryana",-999,Should be able to architect database schema to ensure complete design using MySQL & MongoDB.Thorough understanding of software design principles and patterns.
Full Stack Developer,Applicate IT Solutions Pvt. Ltd.,"Gurgaon, Haryana","3,00,000 - 5,00,000 a year","Knowledge of fluid grids, and building responsive/adaptive websites using Bootstrap etc.Moderate to Strong graphics manipulation/optimization skills using…"
Web Developer - Wordpress,COBOLD DIGITAL,"Gurgaon, Haryana","3,00,000 - 6,00,000 a year","We prefer to get our hands dirty and in the process, we develop libraries and frameworks that we use internally.Quality front end development experience."
Urgent required an asp.net developer,surya marketing MLM software developer,"Delhi, Delhi","5,000 - 10,000 a month","Need candidate to create new website and customised runing websites.Candidate having knowledg of asp.net with c#, Sql Server, html, css."
Software Engineer (Developer),Analytical Solutions,"Navi Mumbai, Maharashtra","2,50,000 - 5,00,000 a year","Design, build and configure applications to meet business process and application requirements.To use optimal and efficient technologies, frameworks, and…"
SOFTWARE DEVELOPER,InfoSystem & Solutions,India,-999,For more enquiry please contact on our Toll-Free no. 1800 419 3786.Educational Qualifications :- Master vs Bachelor degree with 2 year of Experience &…
Software Developer (.NET Developer),Cyber Matrix Solutions,"Noida, Uttar Pradesh",-999,"Design, code and test new Windows and web software applications.Enhance existing systems by analyzing business objectives, preparing an action plan and…"
PHP Developer,WPCODEX,"Noida, Uttar Pradesh","25,000 a month","Would be required to work on web/ PHP MySql, Wordpress, Magento.Should have punctual, keen to learn .Should be enthusiastic & interested to make their career…"
Android Application Developer,Brain Star Technologies,"Delhi, Delhi","20,000 a month",Brain Star Technologies looking for an Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse…
Blockchain Developer,Mobiloitte Technologies,"New Delhi, Delhi",-999,"Experience in blockchain applications or proof-of-concepts (POCs) using Hyperledger Fabric, Hyperledger Sawtooth, Ethereum, EOS and other blockchain protocols."
Front End Developer,belair travel and cargo,"Dwarka, Delhi, Delhi",-999,"The candidate should have its hands on experience on development of all server-side logic, definition and maintenance of the central database, and ensuring high…"
Software Developer II,Rackspace,"Gurgaon, Haryana",-999,"We combine our expertise with the world’s leading technologies — across applications, data and security — to deliver end-to-end solutions."
CodeIgniter Developer,Ampexcel Technologies,"Noida, Uttar Pradesh","12,000 - 30,000 a month",Graduates/Post Graduates with 2 to 3 years of experience as PHP (Codeigniter) developer.The candidates looking for a hike on the previous salary must have…
ETL Developer,NTT,"Noida, Uttar Pradesh","20,00,000 a year",Liaise with the end-user and technical solution team to implement solutions that align with the organization's business objectives.Temporarily due to COVID-19.
ReactJS Developer,Bohiyaanam talent solution,"Pune, Maharashtra","50,000 a month",UI developer with passion for UI/UX and developing high-quality interactive web applications.Front end development: 3 years (Required).
QA / Software Testing Engineer,Acies Global,Remote,-999,We care as much about business problems as we do about technology - that empathy gives us our edge.Adopts a design-led approach to technology solutions.
Software Developer,Eze Software Group,"Nanakramguda, Hyderabad, Telangana",-999,Our teams use the latest technology and practices to develop high performance products while addressing just about every type of software design problem you can…
"Android Application Developer , Json , Rest , Api , Google m...",BlakTronics Investigation Lab,"Delhi, Delhi","22,000 a month","Work experience : - 1 to 2 years.Job Types: Full-time, Contract.Salary: Up to ₹22,000.00 per month.Android development: 1 year (Preferred)."
Backend Developer,Languify,Remote,"20,000 - 50,000 a month","Full-time & completely remote opportunity with an IIT alums startup.We are looking for a well-experienced backend programmer with proficiency in Nodejs,npm,…"
ReactJS Developer,Marketerboard,Remote,"6,00,000 - 10,00,000 a year","Worked experience in project management software design, audio/video learning management, productivity tools, web/mobile analytics will be an added advantage."
Web Developer Internship,Loom Solar Private Limited,"Faridabad, Haryana","8,000 a month","On-time technical assistance.Modifications in WordPress & Shopify websites.Job Types: Full-time, Internship.Salary: ₹8,000.00 per month."
Hybrid Application developer,Abhidip Swastik private ltd,Remote,"30,000 a month",HYBRID APPLICATION DEVELOPMENT: 3 years (Preferred).Total work: 3 years (Preferred).FRONT END / BACKEND Developer: 3 years (Preferred).
Jr. Software Developer,Takshashila Consulting,"Noida, Uttar Pradesh","2,00,000 - 5,00,000 a year",Monitor systems to ensure they meet both user needs and business goals.1-3 years of relevant experience in an online start-up with a record of substantial…
Software Developer,Xuark technologies,"Delhi, Delhi","4,00,000 a year","Git and SQL basics are must.Git and SQL basics are must.Should have experience with any MVC framework such as Zend, Laravel etc."
Web & App Developer,Leafdew India Pvt Ltd,"Jaipur, Rajasthan","10,000 - 20,000 a month","Salary: ₹10,000.00 - ₹20,000.00 per month.Total work: 1 year (Preferred)."
Python Developer,Infozium Solutions Pvt. Ltd.,"Surat, Gujarat","15,000 - 30,000 a month","Ultimately, you’ll build highly responsive web applications that align with our business needs.To be successful in this role, you should have experience using…"
Software Developer,Twopir Consulting Pvt Ltd,"Pune, Maharashtra",-999,For any other stream apply only if you have knowledge on JAVA.We are hiring for Twopir Technology & Consulting for fresher’s for the role of 'Software…
API Developer,ELEMENTS Global Services,"Delhi, Delhi",-999,"All employment decisions at Elements is based on business needs, job requirements and individual qualifications, without regard to race, color, religion or…"
JavaScript Developer,ISOLS Group Pvt. Ltd.,"Gurgaon, Haryana","2,40,000 - 3,00,000 a year",Design and develop new front end applications for various platforms.Develop specifications and designs for complex applications or modifying/maintaining…
Junior Software Developer (SQL Server),Vyvin,"Rohtak, Haryana",-999,"Experience Required 1-2 Year.Good knowledge of Relation Database concepts.Working knowledge of SQL Server - writing queries, stored procedures, functions etc."
C/C++ Developer,Intelliswift Software,"Bengaluru, Karnataka","4,51,683 - 13,00,000 a year",OOAD good if they have.OOAD good if they have.C Mandate need to be very strong here.OOPS need to be strong.C or C++ Need to be strong.
Software Developer (Backend),Reverenc Technologies,"Pune, Maharashtra","15,000 - 25,000 a month",The candidate must be able to handle the Back end work along with documentation.Reverenc Technologies looking for Software Developer for backend activities.
Software Engineer II,Microsoft,"Noida, Uttar Pradesh",-999,Full engagement in agile-based software development.If you need assistance and/or a reasonable accommodation due to a disability during the application or the…
Software Developer,Creative Bees,"Coimbatore, Tamil Nadu","20,000 - 30,000 a month","Need A website designer cum developer.Should be able to design and custom code.Basic SEO and server knowledge.HTML, Php, java script, DB."
Software Engineer (Freshers),lead solutions,"Calicut, Kerala",-999,Here is an opportunity to all to start their career in It sector.you can work with our software team and can participate in live projects.
Software Engineer,Cashfree Payments,"Bengaluru, Karnataka",-999,"Software development: 3 years (Preferred).Strong CS fundamentals, good working knowledge of classic algorithms, data structures and design patterns."
Java Developer,Evolve fit management,"Bengaluru, Karnataka",-999,"IT Engineers manage organizations' computer systems, including software, hardware and networks.They may be responsible for designing, installing, and…"
Java Developer - 4005,ION,"Noida, Uttar Pradesh",-999,"You will work in collaboration with other developers, product owners and business analysts focusing on both infrastructure and application development."
Software Developer,BirlaSoft,"Hyderabad, Telangana",-999,"Primary Location: India-Birlasoft Ltd (India)-Hyderabad Site.Job Posting: Dec 8, 2020, 3:32:03 AM."
Android Developer,Netbiz Infotech Pvt Ltd,"Delhi, Delhi","24,000 a month","We are hiring an Android Developer.Experience Required- 1-2 years.Knowledge on Android SDK, Android Studio.Good understanding of Core Java."
Software Developer,ASPEN SYSTEMS AND SOFTWARE,"Sinhgad Road, Pune, Maharashtra","2,00,000 - 4,00,000 a year","Software Developer- Graduate -BE/MCA/MCS/MSc with Two years software development Experience in ASP.Job Types: Full-time, Walk-In."
Front End Developer,Delhi Developer,"Delhi, Delhi",-999,Front End Developer Experience: 1+ year/s Skills Needed: HTML5 CSS3 JavaScript & jQuery…
Oracle Procedural Language Extensions to SQL Application Dev...,Accenture,"Gurgaon, Haryana",-999,"Project Role Description :Design, build and configure applications to meet business process and application requirements.Work Experience :6-8 years."
ReactJS Developer,"Kaspon Techworks Pvt ,.td","Chennai, Tamil Nadu","3,13,040 - 13,82,064 a year","Developing new user-facing features using React.js.Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product is…"
Software Developer,Sanda Office Management Services Private Limited,"Mumbai, Maharashtra","5,00,000 a year","Java developer roles and responsibilities include managing Java development while providing expertise in the full software development lifecycle, from concept…"
Junior Developer,Perfexion Information Technologies Pvt. Ltd.,"Madhapur, Hyderabad, Telangana",-999,"Coordinate with other developers and software professionals.Must develop projects on any one technology like Android, JavaScript (Angular, NodeJS, React), Go."
Software Developer,Cereus Technologies,"Pune, Maharashtra","4,00,000 - 6,00,000 a year","We are looking for candidates with strong attention to detail and unflinching work ethic.You will be peer mentored, trained and expected to rapidly develop…"
Software Developer,Computer Engineer,"Mysore, Karnataka","17,000 - 24,000 a month",Published on : 9 days ago.Responsible for HTML 5 pages development.Integrate the HTML pages into framework.Training Will be given on the execution of work.
Backend Developer,Marketwick pvt ltd,"Ghaziabad, Uttar Pradesh","25,000 - 50,000 a month",Collaborate with Front-end developers to integrate user-facing elements with server-side logic.Proven work experience as a Back-end developer.
Software Developer,OLX People,"Delhi, Delhi","13,00,000 a year",Writing extensive unit tests using automated TDD tasks.Resource for lower-level developers.Functions as an effective member of a team by modelling teamwork…
PHP Web Developer,Xuark Technologies OPC Pvt Ltd,"Noida, Uttar Pradesh","12,966 - 45,444 a month",PHP Web developer who can work on Zend Framework or ready to learn MVC framework.You should have good OOPs concept and proficient with Jquery along with CSS…
Application Developer,infocom network ltd,"Noida, Uttar Pradesh",-999,"Their primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end."
Full Stack Developer,GENX SYSTEMS Pvt Ltd,"Noida, Uttar Pradesh","60,000 - 1,00,000 a month",Candidate should be well-versed in coding best-practices and must have excellent analytical and problem-solving skills.Total work: 3 years (Preferred).
User Interface Design and Development Application Developer,Accenture,"Bengaluru, Karnataka",-999,"An overall understanding of design principles, user experience design principles, and processes 4.Project Role Description :Design, build and configure…"
Software Developer,Afrin Sithara J (Proprietor Of Shahi India Co),"Coimbatore, Tamil Nadu","2,40,000 - 4,70,000 a year",Trainee Software Engineer to work in software application development & designing.Identifying end to end scenarios and code modularity.
Sr. Application Developer,ESSI Integrated Technologie,"New Delhi, Delhi",-999,"3+ Years of Experience in .net Framework Specially ASP.NET, SQL Server 2008, Ajax Tools , XML / XAML , HTML , Java Scripts, CSS ,IIS."
Web Developer,Sagetalent,Remote,"35,000 - 50,000 a month","Writing well designed, testable, efficient code by using best software development practices.Creating website layout/user interfaces by using standard HTML/CSS…"
Android Developer (SDK),Actas Technologies PVT. Ltd,"Noida, Uttar Pradesh","2,00,000 - 5,00,000 a year","Strong knowledge of Android UI design principles, patterns, and best practices.Collaborate with backend developers to integrate user-facing elements with…"
Software Support Engineer,Marketwick pvt ltd,"Ghaziabad, Uttar Pradesh","12,000 - 17,000 a month",Ø Maintain and monitor all server-side software to ensure system is working properly.Ø Provide end-user support for existing applications.
Angular/React Developer/Nodejs,JAI INFOWAY PRIVATE LIMITED,"New Delhi, Delhi",-999,To write efficient and good quality code as per coding standards from software design.To understand requirement specifications and convert into software design…
Front End Developer,Schbang Digital Solutions Pvt Ltd,"Mumbai, Maharashtra","25,000 - 35,000 a month","Front end development of websites and applications using CSS3, HTML5, jQuery.Ability to make modifications to libraries in jQuery as per requirement of a…"
HTML Developer,Alliance Web Solution,"Noida, Uttar Pradesh",-999,Developing Responsive web design using the Bootstrap or any other front-end framework.Collaborate with back-end developers Team for smooth delivery of the…
Junior Java Developer,Snap Pe,"Hyderabad, Telangana","25,000 a month","Java developer having good knowledge on core java, Frontend and backend.Candidate should be based out of Hyderabad.Salary: Up to ₹25,000.00 per month."
Content Developer,IES Master,"Delhi, Delhi",-999,"Knowledge of MS Office applications, Internet, etc.Add to the existing network of content developers and reviewers."
Software Engineer,TomTom,"Pune, Maharashtra",-999,"Analytical skills, problems solving with strong exposure to root causing tools and techniques and ability to come up with win-win solutions in complex business…"
AWM - Director - Software Engineering,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",-999,"With your deep knowledge of design, analytics, development, coding, testing and application programming, your team will raise their game even more, meeting your…"
Dot Net Developer,Apalya Technologies Pvt Ltd,"Hyderabad, Telangana","12,000 - 18,000 a month","If you have 0-1 year of experience of working on Dot Net technology, and would like to work on some time real projects, please reach out to us ."
"Application Support, Software Developer, Business Analyst, S...",Global Knack,"Delhi, Delhi","13,00,000 a year",Regular consultation with cross functional teams on account deployments to ensure optimal.Proficient in Object Oriented Programming.Good at JS framework.
Flutter Developer,Kinda Web Technologies,"Jeewan Park, Delhi","20,215 - 30,306 a month",Adobe XD: Should know how to use Adobe XD to use the design file and use it to build the app.Following company policies and quality procedures to ensure…
Wordpress Developer,The Ocean Marketing,"Virar, Maharashtra","16,603 - 25,000 a month",Designing and managing the website back-end including database and server integration.Meeting with clients to discuss website design and function.
Software Developer Xamarin,A Prestigious client of Destiny HR Group Services,"Moti Nagar, Delhi",-999,"We seek talented, self starter and self motivated engineering and technology background individuals with drive to learn and create Android and IOS app using…"
PHP Developer,Web Edge Solutions,Remote,"35,000 a month",Coordinating with co-developers and other related departments.Developing and maintaining web applications.Sending regular updates about project status.
Web Designer & Developer,Mount Web Tech,"Mohali, Punjab","15,000 - 30,000 a month","The ideal candidate should have an eye for clean and artful web design.Proficiency in Photoshop, Illustrator, or other visual design and wire-framing tools."
Sr. Software Developer - Machine Learning,Flexsin,"Noida, Uttar Pradesh",-999,"We are looking for an experienced Conversational UI Engineer who can help us define, design and build AI powered Chatbots that automatically facilitate a host…"
'SOFTWARE ENGINEERS,Computer Engineer,"Noida, Uttar Pradesh","19,000 - 30,000 a month","Exposure to HTML,CSS,LESS,JavaScript).Experience in UI/UX design of Telecom/IT tool, wireframe.Published on : 2 days ago.Knowledge of Site maps."
Software Developer,Softomatic,"Bhilai, Chhattisgarh",-999,Fast Learner & ability to write quality code.We're hiring talented and passionate Software Developer to solve problems as we build out our new platform.
Software Developer,Enverus,"Bengaluru, Karnataka",-999,Familiar with various design and architectural patterns.Understanding fundamental design principles behind a scalable application.Why YOU want this position.
Software Developer - PHP,Regnant Technologies,"New Delhi, Delhi",-999,"Experience : 6 months to 3 years.We are looking for talented and energetic people, who can work with passion, dedication and integrity."
PHP Developer,Web2tech Solutions,"Delhi, Delhi","18,000 - 25,000 a month","Web development using technology platforms such as JavaScript, HTML, CSS, jQuery, MySQL, etc.Software development: 1 year (Preferred).Programming in core PHP."
MEAN Stack Developer,Techinflo Solutions Pvt Ltd,"Bengaluru, Karnataka","3,14,773 - 13,69,546 a year","Experience Required - 1.5 Years - 3 Years.Techinflo, based in Bangalore, India is a close knit team of professionals with a wonderful thinking and out of box…"
OpenText Documentum Application Developer,Accenture,"Gurgaon, Haryana",-999,"Project Role Description :Design, build and configure applications to meet business process and application requirements.Work Experience :4-6 years."
Required freshers for the role of Software Developer,Radical Technologies,India,-999,For any other stream apply only if you have knowledge on SFDC/Java/C++/ HTML/Javascript.We are hiring for Twopir Technology & Consulting for freshers for the…
PHP Web Developer,S R AND COMPANY,"Jaipur, Rajasthan","10,590 - 43,949 a month","Responsible for Building, Testing & Maintaining web-based business applications.Software development: 1 year (Preferred).Above 1 year Experience: up to 25K."
Software Developer,Winvisa Associates Private Limited,"Bengaluru, Karnataka","1,20,000 - 1,80,000 a year","Must have knowledge in Windows, Web and Mobile application.Must be able to understand Frontend and Backend Technologies.Bachelor Of Technology (B.Tech/B.E)."
Software Development/MIS Specialist,AECOM,"Delhi, Delhi",-999,AECOM is seeking applications for the role of Software Development/MIS Specialist for an upcoming bid for a Prestigious and Large Scale Dam Rehabilitation…
Dot Net Developer,Alps Softech Solutions Pvt Ltd,"Noida, Uttar Pradesh","15,000 - 25,000 a month","We have an urgent requirement for Dot Net Developer.Net, JQuery, CSS, & MS SQL Server.Interested candidates can apply directly or can contact asap on…"
Python/Django Developer,Mantra India Services,"New Delhi, Delhi","20,000 - 45,000 a month","Integrate user-facing elements into applications.Candidates must take responsibilities including writing and testing code, debugging programs and integrating…"
PHP Web Developer,Syscom Softech Private Limited,"Delhi, Delhi","10,000 - 25,000 a month","Responsible for Building, Testing & Maintaining web-based business applications.Good conceptualization and visualization skills, ability to work under pressure…"
C#.Net Developer,WiseTech Global,"Bengaluru, Karnataka","10,00,000 - 30,00,000 a year","Our approach to hiring is different, and we do not assess applications based on tech stack but on achievement.Total work: 4 years (Required)."
Software Developer,Sizil Softec,"Sarita Vihar, Delhi, Delhi",-999,"Details : We have a work from home opportunity for experienced web developer with good communication skill in English.Net,C#,SQL Server,Crystal Report."
Software Embedded engineer,Iotech Designs Private Limited,"Noida, Uttar Pradesh","5,00,000 - 6,00,000 a year",An ideal fit is a person with an insatiable appetite for learning and exploring new technologies and one who is forever looking to bring improvement in the way…
Software Developer,FAMA Technologies,"Hyderabad, Telangana","25,000 a month",Work with developers to design algorithms and flowcharts.Experience with software design and development in a test-driven environment.
"Software Developer(C#, SQL)",Siemens Technology and Services Private Limited,"Chennai, Tamil Nadu",-999,You must perform required quality processes by integrate the code quality analyzing tools.You need to Implement the solution using the chosen technology stack.
Software Developer,Chipin IT Solutions Pvt LTD,"Delhi, Delhi","15,000 - 25,000 a month",3+ years’ experience in web and windows based software development using .Good understanding of Design and development of Web applications using ASP.Net/ASP.
Senior Software Developer,Saralpro Technologies,"Meerut, Uttar Pradesh",-999,"Skills : Strong background with Microsoft .Advanced level knowledge of database ( MS SQL, My SQL."
Xamarin Developer,Mobiloitte,"New Delhi, Delhi","15,603 - 57,619 a month","Prepares reports, manuals and other documentation on the status, operation and maintenance of the application.*2+ years’ experience using Xamarin."
Freshers/Trainee Software Developer,Blue Flame Labs,"Baner, Pune, Maharashtra",-999,Should have Hands-on experience (not work experience) in programming irrespective of the language/technology.Net/C/C++/Testing would be an added advantage.
• Software Developer- Cross Platform Software Applications :...,Signify,"Pune, Maharashtra",-999,"Demonstrated expertise in three or more of the following : UI Controls, Multithreaded Applications, Computer Networks – TCP/IP, UDP, IPv4 etc, Computer Graphics…"
Frontend Development Internship,Kraftshala,"Delhi, Delhi","20,000 a month","Improve testing, streamline product releases, and maintain product quality 3.Kraftshala is India's premier business training and assessment platform and the…"
JIRA/Confluence Admin & Developer,Larsen & Toubro Infotech Limited,India,-999,"JIRA Administration (workflow changes, content updates, general admin tasks) • Confluence Administration (report development, integration between JIRA and…"
Back end – App Developer,Anaya Jobs Solution,"Delhi, Delhi","35,000 - 40,000 a month",To develop an end to end enterprise-grade applications using cutting edge versions of Java stacks.Translate application storyboards and use cases into…
Process Developer - Transaction,Genpact,"Gurgaon, Haryana",-999,"Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin…"
Web Developer,Technocity Solutions,"Cannanore, Kerala","25,000 - 50,000 a month","Create and test applications for websites,.Basic knowledge in Javascript, PHP; Analytical skills and Responsive design skills."
Software Developer (Returner Female only),CodeBlock Technologies,"Noida, Uttar Pradesh","4,00,000 a year",Or Any other Backend or frontend technologies experience..Option for Full Day / Half Day Working (but exclusive i.e. not freelancing)*.
